,대덕구,동구,서구,유성구,중구
2017-03-01,58,51,45,54,46
2017-03-02,43,38,36,36,34
2017-03-03,50,43,41,45,40
2017-03-04,65,52,43,55,45
2017-03-05,67,53,45,59,43
2017-03-06,49,43,36,42,40
2017-03-07,37,31,32,27,30
2017-03-08,46,37,40,38,36
2017-03-09,68,55,60,61,56
2017-03-10,54,47,45,47,47
2017-03-11,68,57,54,63,53
2017-03-12,85,74,66,80,70
2017-03-13,76,71,67,76,73
2017-03-14,62,53,51,55,52
2017-03-15,56,47,46,50,50
2017-03-16,59,49,46,53,48
2017-03-17,68,53,54,61,56
2017-03-18,67,59,57,63,61
2017-03-19,67,61,59,69,62
2017-03-20,69,54,56,72,60
2017-03-21,66,55,60,60,61
2017-03-22,57,50,54,52,60
2017-03-23,75,64,65,65,72
2017-03-24,68,54,59,61,61
2017-03-25,42,38,37,46,41
2017-03-26,41,45,35,44,43
2017-03-27,69,59,55,66,68
2017-03-28,67,60,52,66,63
2017-03-29,43,38,37,39,41
2017-03-30,74,68,61,70,76
2017-03-31,46,47,40,54,53
2017-02-01,39,35,30,37,43
2017-02-02,37,33,28,30,39
2017-02-03,63,56,55,60,68
2017-02-04,113,97,90,110,116
2017-02-05,81,73,74,84,76
2017-02-06,50,45,43,47,56
2017-02-07,53,48,44,47,59
2017-02-08,56,55,41,53,56
2017-02-09,45,39,40,38,44
2017-02-10,37,35,33,30,37
2017-02-11,32,30,30,27,33
2017-02-12,29,28,26,24,29
2017-02-13,46,37,34,40,40
2017-02-14,58,58,51,60,62
2017-02-15,68,58,58,63,63
2017-02-16,67,55,52,56,52
2017-02-17,45,40,38,36,37
2017-02-18,38,33,32,32,34
2017-02-19,48,43,41,50,41
2017-02-20,47,43,41,39,44
2017-02-21,56,47,50,51,52
2017-02-22,35,30,31,32,31
2017-02-23,38,34,34,31,33
2017-02-24,37,31,29,29,30
2017-02-25,41,38,33,38,34
2017-02-26,53,55,45,57,53
2017-02-27,56,50,44,49,47
2017-02-28,58,47,41,50,46
2017-04-01,35,42,40,40,54
2017-04-02,48,48,45,48,52
2017-04-03,64,64,56,68,68
2017-04-04,69,56,57,60,65
2017-04-05,48,37,39,43,44
2017-04-06,31,30,27,27,30
2017-04-07,40,44,39,44,46
2017-04-08,77,68,59,73,67
2017-04-09,54,55,48,61,58
