,대덕구,동구,서구,유성구,중구
2022-08-07,12,10,12,10,15
2022-08-08,7,6,7,4,9
2022-08-09,4,2,4,2,5
2022-08-10,6,6,5,3,8
2022-08-11,4,3,6,5,7
2022-08-12,7,6,9,7,11
2022-08-13,13,13,14,11,14
2022-08-14,8,7,9,8,11
2022-08-15,3,3,5,5,7
2022-08-16,7,6,9,7,11
2022-08-17,7,5,11,9,14
2022-08-18,12,12,15,11,19
2022-08-19,12,8,11,9,10
2022-08-20,9,9,9,9,10
2022-08-21,8,7,9,8,8
2022-08-22,11,12,11,12,13
2022-08-23,8,9,9,8,9
2022-08-24,3,5,7,6,7
2022-08-25,11,8,10,9,10
2022-08-26,16,15,13,14,14
2022-08-27,15,12,13,13,16
2022-08-28,8,7,8,8,10
2022-08-29,5,4,5,5,6
2022-08-30,5,5,4,4,6
2022-08-31,6,5,6,4,8
2022-05-01,18,16,19,15,17
2022-05-02,20,17,19,16,19
2022-05-03,22,15,19,16,18
2022-05-04,21,14,17,14,16
2022-05-05,18,13,15,12,15
2022-05-06,20,15,18,15,16
2022-05-07,16,14,15,13,15
2022-05-08,9,7,10,8,9
2022-05-09,6,6,8,5,9
2022-05-10,7,6,10,5,9
2022-05-11,17,15,17,13,17
2022-05-12,23,19,21,19,20
2022-05-13,23,20,21,18,21
2022-05-14,10,10,12,9,10
2022-05-15,10,7,9,7,10
2022-05-16,13,9,11,9,10
2022-05-17,23,19,22,19,21
2022-05-18,26,23,24,23,23
2022-05-19,18,13,17,15,16
2022-05-20,24,20,23,20,21
2022-05-21,18,14,17,15,16
2022-05-22,19,18,20,18,21
2022-05-23,33,29,33,34,31
2022-05-24,19,16,21,17,18
2022-05-25,14,12,15,12,14
2022-05-26,7,5,8,6,8
2022-05-27,9,7,9,6,9
2022-05-28,13,10,13,12,12
2022-05-29,17,12,15,12,14
2022-05-30,16,15,17,16,18
2022-05-31,7,5,9,6,8
2022-09-01,9,5,6,9,9
2022-09-02,5,3,5,4,6
2022-09-03,4,3,3,3,5
2022-09-04,6,4,6,4,6
2022-09-05,8,3,4,5,8
2022-09-06,7,6,8,6,8
2022-09-07,14,14,10,12,18
2022-09-08,15,10,13,12,13
2022-09-09,12,9,9,11,11
2022-09-10,6,6,5,5,8
2022-09-11,10,8,8,8,10
2022-09-12,10,10,9,9,12
2022-09-13,8,8,6,7,11
2022-09-14,7,6,8,7,8
2022-09-15,11,9,8,9,11
2022-09-16,14,15,12,12,14
2022-09-17,21,17,16,17,22
2022-09-18,16,14,11,15,16
2022-09-19,6,5,4,5,8
2022-09-20,8,6,7,8,9
2022-09-21,6,6,6,7,8
2022-09-22,5,4,5,5,6
2022-09-23,8,8,7,8,10
2022-09-24,9,7,7,7,11
2022-09-25,12,11,12,11,13
2022-09-26,15,13,14,14,16
2022-09-27,13,9,12,13,13
2022-09-28,16,16,15,16,16
2022-09-29,24,21,18,22,23
2022-09-30,28,26,22,28,29
2022-10-01,29,25,23,26,27
2022-10-02,20,17,19,20,19
2022-10-03,14,12,12,12,13
2022-10-04,4,5,4,7,9
2022-10-05,6,7,7,7,10
2022-10-06,13,15,13,14,17
2022-10-07,9,12,9,10,13
2022-10-08,6,5,6,6,7
2022-10-09,4,4,4,4,6
2022-10-10,5,4,3,4,6
2022-10-11,10,8,7,8,11
2022-10-12,14,13,11,12,14
2022-10-13,9,10,10,10,12
2022-10-14,11,8,10,11,10
2022-10-15,13,9,11,14,12
2022-10-16,28,23,24,32,26
2022-10-17,12,17,12,15,17
