지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),현상번호(국내식),지면온도(°C)
133,대전,2021-01-01 00:00,-7.7,,.6,90,,,-6.4
133,대전,2021-01-01 01:00,-7.9,,.7,90,,,-6.5
133,대전,2021-01-01 02:00,-8.1,,.9,91,,,-6.8
133,대전,2021-01-01 03:00,-8.4,,.7,90,,,-7.1
133,대전,2021-01-01 04:00,-8.8,,.2,90,,,-7.3
133,대전,2021-01-01 05:00,-9.1,,.5,91,,,-7.6
133,대전,2021-01-01 06:00,-9.5,,1,91,,,-7.8
133,대전,2021-01-01 07:00,-9.5,,1.1,92,,,-7.9
133,대전,2021-01-01 08:00,-9.5,,.3,92,.1,,-7.9
133,대전,2021-01-01 09:00,-7.8,,.3,90,1,,-5.9
133,대전,2021-01-01 10:00,-5.4,,.7,83,1,05,-3.1
133,대전,2021-01-01 11:00,-3.5,,.1,72,.5,05,-.9
133,대전,2021-01-01 12:00,-2.8,0,.6,66,.1,05,-.2
133,대전,2021-01-01 13:00,-2.3,,.6,79,0,05,0
133,대전,2021-01-01 14:00,-1.8,,.6,83,0,05,.6
133,대전,2021-01-01 15:00,-1.7,.4,.5,87,0,05,0
133,대전,2021-01-01 16:00,-1.4,,.6,90,0,05,0
133,대전,2021-01-01 17:00,-1.4,,.2,91,0,05,-.2
133,대전,2021-01-01 18:00,-1.6,1,.4,94,0,05,-.2
133,대전,2021-01-01 19:00,-1.7,,.1,95,,05,-.2
133,대전,2021-01-01 20:00,-1.9,,.3,95,,05,-.2
133,대전,2021-01-01 21:00,-2,.6,.3,95,,05,-.2
133,대전,2021-01-01 22:00,-2.6,,.7,95,,05,-.2
133,대전,2021-01-01 23:00,-3.2,,.3,96,,1905,-.3
133,대전,2021-01-02 00:00,-3.1,.1,.4,97,,19,-.4
133,대전,2021-01-02 01:00,-3.7,,.7,97,,1905,-.4
133,대전,2021-01-02 02:00,-3.2,,.4,97,,1905,-.4
133,대전,2021-01-02 03:00,-3.5,0,.7,97,,19,-.6
133,대전,2021-01-02 04:00,-4.2,,.7,96,,19,-.9
133,대전,2021-01-02 05:00,-4.9,,.3,95,,19,-1.1
133,대전,2021-01-02 06:00,-5.3,,.7,96,,19,-1.3
133,대전,2021-01-02 07:00,-6.4,,1,93,,19,-1.9
133,대전,2021-01-02 08:00,-7,,.5,91,0,,-2.2
