지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),현상번호(국내식),지면온도(°C)
133,대전,2020-01-01 00:00,-7.5,,1.3,73,,,-3.6
133,대전,2020-01-01 01:00,-7.5,,1.6,70,,,-3.7
133,대전,2020-01-01 02:00,-7.5,,1.1,70,,,-3.4
133,대전,2020-01-01 03:00,-6.5,,1.2,70,,,-1.9
133,대전,2020-01-01 04:00,-6.1,,.2,69,,05,-1.5
133,대전,2020-01-01 05:00,-5.5,,.6,68,,05,-1.5
133,대전,2020-01-01 06:00,-5.2,0,.2,69,,05,-1.3
133,대전,2020-01-01 07:00,-4.9,,.3,71,,05,-1.4
133,대전,2020-01-01 08:00,-4.5,,.4,70,0,,-1.3
133,대전,2020-01-01 09:00,-4,0,.3,70,0,,-.7
133,대전,2020-01-01 10:00,-1.9,,.6,70,.3,,-.1
133,대전,2020-01-01 11:00,.9,,1.4,62,1,,1.6
133,대전,2020-01-01 12:00,3.9,,1.8,52,1,,2.9
133,대전,2020-01-01 13:00,4.8,,1.4,47,1,,6.1
133,대전,2020-01-01 14:00,4.6,,1.7,48,1,,6.2
133,대전,2020-01-01 15:00,4.6,,2.7,48,1,,5.7
133,대전,2020-01-01 16:00,4.1,,1.4,53,.3,,3.7
133,대전,2020-01-01 17:00,3.2,,1.3,59,.1,,1.8
133,대전,2020-01-01 18:00,2.6,,.8,64,0,,1.2
133,대전,2020-01-01 19:00,2.3,,.5,65,,,1
133,대전,2020-01-01 20:00,1.7,,.4,67,,,.2
133,대전,2020-01-01 21:00,.6,,.6,72,,,.3
133,대전,2020-01-01 22:00,.2,,1.2,75,,,.2
133,대전,2020-01-01 23:00,-.3,,.2,76,,,.1
133,대전,2020-01-02 00:00,-1,,.4,81,,19,-.6
133,대전,2020-01-02 01:00,-1.6,,.6,83,,19,-1.3
133,대전,2020-01-02 02:00,-2.1,,.7,85,,19,-1.7
133,대전,2020-01-02 03:00,-2.5,,.7,87,,19,-2
133,대전,2020-01-02 04:00,-2.6,,.7,88,,19,-1
133,대전,2020-01-02 05:00,-2.2,,.5,88,,19,-1.4
133,대전,2020-01-02 06:00,-2.3,,.8,88,,19,-1.6
133,대전,2020-01-02 07:00,-2.6,,1.6,88,,19,-1.7
133,대전,2020-01-02 08:00,-2.1,,.3,88,0,19,-.6
133,대전,2020-01-02 09:00,-1.2,,.7,86,0,19,-.2
133,대전,2020-01-02 10:00,-.2,,.3,82,0,19,0
133,대전,2020-01-02 11:00,1.1,,.2,78,0,19,.1
133,대전,2020-01-02 12:00,3,,.4,72,0,19,1.7
133,대전,2020-01-02 13:00,4.2,,1,65,.1,4019,3.9
133,대전,2020-01-02 14:00,5.2,,1.7,58,.1,40,4.3
133,대전,2020-01-02 15:00,5.3,,2.1,59,0,40,4.6
133,대전,2020-01-02 16:00,4.8,,.9,62,0,40,3.4
133,대전,2020-01-02 17:00,4.4,,.9,64,0,40,2.8
133,대전,2020-01-02 18:00,4.1,,1,66,0,40,2.2
133,대전,2020-01-02 19:00,4,,.4,69,,40,2.1
133,대전,2020-01-02 20:00,3.9,,.7,71,,40,1.9
133,대전,2020-01-02 21:00,2.7,,1,75,,40,.3
133,대전,2020-01-02 22:00,2.1,,.5,78,,40,.6
133,대전,2020-01-02 23:00,1.7,,1.9,81,,4019,.6
133,대전,2020-01-03 00:00,1.5,,.8,82,,19,.5
133,대전,2020-01-03 01:00,1.2,,1.4,84,,19,.5
133,대전,2020-01-03 02:00,.6,,.3,86,,19,.3
133,대전,2020-01-03 03:00,.7,,1.1,86,,19,.5
133,대전,2020-01-03 04:00,.8,,.8,86,,19,.5
133,대전,2020-01-03 05:00,.9,,.5,86,,19,.5
133,대전,2020-01-03 06:00,.4,,.4,88,,19,.2
133,대전,2020-01-03 07:00,-.1,,.8,89,,19,0
133,대전,2020-01-03 08:00,-.9,,.2,90,0,19,-.5
133,대전,2020-01-03 09:00,-.7,,.8,92,0,19,-.2
133,대전,2020-01-03 10:00,1.3,,.5,88,1,19,.1
133,대전,2020-01-03 11:00,3.3,,.6,75,.7,19,1.9
133,대전,2020-01-03 12:00,5.2,,2.1,63,.9,4019,7.2
133,대전,2020-01-03 13:00,5.9,,2.9,56,1,40,8.8
133,대전,2020-01-03 14:00,6.7,,2.9,50,1,40,9.5
133,대전,2020-01-03 15:00,7.3,,1.1,48,1,40,8.8
133,대전,2020-01-03 16:00,7.1,,1.9,49,1,40,6.5
133,대전,2020-01-03 17:00,5.8,,1.4,54,.7,40,3.5
133,대전,2020-01-03 18:00,4.2,,1.4,58,0,40,1.4
133,대전,2020-01-03 19:00,2.5,,.9,61,,40,1
133,대전,2020-01-03 20:00,1.5,,.5,65,,40,.7
133,대전,2020-01-03 21:00,.8,,.4,70,,40,.3
