,대덕구,동구,서구,유성구,중구
2022-07-07,16,12,13,13,13
2022-07-08,21,16,18,16,17
2022-07-09,24,20,23,20,21
2022-07-10,27,20,28,25,23
2022-07-11,23,22,24,22,24
2022-07-12,21,20,23,20,20
2022-07-13,25,21,23,21,22
2022-07-14,17,14,14,13,14
2022-07-15,23,16,20,17,17
2022-07-16,25,19,21,21,21
2022-07-17,17,14,18,16,16
2022-07-18,12,9,13,11,10
2022-07-19,25,19,22,19,20
2022-07-20,37,29,30,29,31
2022-07-21,23,18,20,19,21
2022-07-22,26,21,22,20,21
2022-07-23,26,20,25,22,22
2022-07-24,13,13,15,14,13
2022-07-25,19,16,18,15,16
2022-07-26,31,24,29,27,27
2022-07-27,23,20,21,21,23
2022-07-28,19,17,21,18,20
2022-07-29,19,17,20,17,20
2022-07-30,12,10,14,11,14
2022-07-31,9,10,12,8,10
2022-08-01,11,12,14,12,13
2022-08-02,11,9,12,9,10
2022-08-03,16,15,15,12,14
2022-08-04,15,9,12,11,10
2022-08-05,16,13,15,14,17
2022-08-06,24,21,24,22,22
2022-08-07,22,19,21,20,21
2022-08-08,18,14,15,15,13
2022-08-09,13,8,11,9,8
2022-08-10,10,10,10,9,13
2022-08-11,9,7,9,8,9
2022-08-12,17,14,15,13,16
2022-08-13,21,20,21,18,22
2022-08-14,17,17,17,16,19
2022-08-15,12,11,12,11,11
2022-08-16,13,11,15,13,15
2022-08-17,20,16,19,18,21
2022-08-18,27,22,23,23,24
2022-08-19,22,14,18,17,17
2022-08-20,18,12,16,14,16
2022-08-21,17,14,17,16,16
2022-08-22,24,19,21,20,21
2022-08-23,17,14,17,15,16
2022-08-24,15,10,14,13,12
2022-08-25,20,16,18,18,19
2022-08-26,35,21,28,23,24
2022-08-27,29,22,21,22,24
2022-08-28,17,12,15,13,14
2022-08-29,12,8,10,10,12
2022-08-30,10,7,11,8,10
2022-08-31,11,7,10,7,11
2022-09-01,20,11,15,16,14
2022-09-02,13,8,11,11,10
2022-09-03,8,7,9,8,9
2022-09-04,9,6,11,8,10
2022-09-05,11,10,11,9,11
2022-09-06,14,9,16,12,11
2022-09-07,29,23,23,24,24
2022-09-08,27,17,23,22,21
2022-09-09,20,13,18,18,16
2022-09-10,12,10,12,11,12
2022-09-11,17,13,17,14,15
2022-09-12,16,14,18,15,18
2022-09-13,18,11,16,14,15
2022-09-14,18,11,18,15,14
2022-09-15,22,18,22,21,22
2022-09-16,22,21,25,21,23
2022-09-17,28,25,29,26,28
2022-09-18,21,18,23,21,21
2022-09-19,15,13,17,14,16
2022-09-20,26,20,28,24,25
2022-09-21,19,15,19,16,18
2022-09-22,15,10,16,13,12
2022-09-23,27,19,23,20,22
2022-09-24,25,17,22,19,21
2022-09-25,25,18,24,20,21
2022-09-26,29,20,29,24,24
2022-09-27,25,14,25,22,19
2022-09-28,31,21,30,22,25
2022-09-29,42,27,33,29,29
2022-09-30,53,34,39,38,36
2022-10-01,46,29,39,35,33
2022-10-02,30,20,30,27,23
2022-10-03,20,16,20,17,19
2022-10-04,15,10,13,11,13
2022-10-05,19,14,18,16,19
2022-10-06,26,19,25,22,23
2022-10-07,21,17,20,16,18
2022-10-08,14,6,14,12,11
2022-10-09,9,5,9,8,8
2022-10-10,14,7,11,9,10
2022-10-11,20,12,18,13,17
2022-10-12,24,16,24,18,20
2022-10-13,21,14,22,17,19
2022-10-14,23,11,22,19,16
2022-10-15,25,13,24,22,17
2022-10-16,45,34,41,43,38
2022-10-17,37,31,30,31,33
2022-10-18,24,15,21,19,21
2022-10-19,33,20,25,22,24
2022-10-20,47,30,36,32,33
2022-10-21,48,34,39,35,36
2022-10-22,39,23,31,27,27
2022-10-23,40,34,35,32,36
2022-10-24,33,22,26,23,24
2022-10-25,27,16,23,20,20
2022-10-26,25,12,21,16,19
2022-10-27,42,28,33,29,33
2022-10-28,47,34,43,37,35
2022-10-29,34,25,36,28,30
2022-10-30,24,16,27,21,21
2022-10-31,20,14,23,16,17
2022-12-01,20,23,20,17,20
2022-12-02,30,22,28,25,26
2022-12-03,35,34,32,30,35
2022-12-04,22,20,20,19,21
2022-12-05,23,28,19,17,21
2022-12-06,32,24,25,25,27
2022-12-07,53,43,45,41,47
2022-12-08,50,40,46,39,42
2022-12-09,63,48,53,49,49
2022-12-10,70,65,60,61,63
2022-12-11,48,41,44,40,42
2022-12-12,42,29,33,33,30
2022-12-13,92,89,99,86,95
2022-12-14,46,36,53,37,46
2022-12-15,33,24,29,28,28
2022-12-16,37,33,33,32,34
2022-12-17,28,22,32,23,26
2022-12-18,24,18,24,22,24
2022-12-19,33,23,28,28,31
2022-12-20,43,32,37,40,39
2022-12-21,37,30,34,31,30
2022-12-22,36,30,42,28,37
2022-12-23,22,15,28,16,21
2022-12-24,27,25,28,27,32
2022-12-25,37,32,30,34,35
2022-12-26,36,31,33,34,41
2022-12-27,50,39,39,42,48
2022-12-28,45,40,37,41,46
2022-12-29,39,31,33,33,38
2022-12-30,38,33,32,35,38
2022-12-31,36,30,29,32,36
2022-11-01,56,44,50,44,46
2022-11-02,52,45,44,41,46
2022-11-03,44,35,38,33,35
2022-11-04,28,23,23,21,24
2022-11-05,31,33,28,23,27
2022-11-06,36,26,33,29,30
2022-11-07,52,37,43,39,41
2022-11-08,51,36,45,38,40
2022-11-09,70,49,56,52,50
2022-11-10,83,69,69,64,67
2022-11-11,78,55,65,61,61
2022-11-12,49,39,49,40,43
2022-11-13,25,19,24,19,23
2022-11-14,39,29,34,31,32
2022-11-15,34,24,28,27,27
2022-11-16,36,31,31,29,33
2022-11-17,45,33,38,35,34
2022-11-18,53,38,42,40,40
2022-11-19,43,33,40,34,36
2022-11-20,36,30,36,29,32
2022-11-21,53,33,39,36,37
2022-11-22,73,47,58,58,49
2022-11-23,55,45,45,47,48
2022-11-24,50,37,43,36,41
2022-11-25,56,40,45,43,42
2022-11-26,64,60,58,58,60
2022-11-27,41,32,42,34,35
2022-11-28,48,35,38,33,32
2022-11-29,23,19,22,19,20
2022-11-30,26,22,26,22,25
