연번,"스테이션, 성명(Station)",위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명
154,한남오거리,대전광역시 대덕구 오정동 731,36.3498789,127.4154178,30,대전광역시,30230,대덕구,3023010100,오정동,3023051000,오정동
155,오정동 운암빌딩,대전광역시 대덕구 오정동 61-13,36.3586121,127.4112302,30,대전광역시,30230,대덕구,3023010100,오정동,3023051000,오정동
156,중촌네거리(목동우체국 방면),대전광역시 중구 중촌동 398-14,36.3359978,127.4149151,30,대전광역시,30140,중구,3014010400,중촌동,3014056000,중촌동
157,중촌초등학교(건너편),대전광역시 중구 중촌동 462,36.3405032,127.4110809,30,대전광역시,30140,중구,3014010400,중촌동,3014056000,중촌동
158,전자통신연구원,대전광역시 유성구 가정동 160-2,36.3839713,127.3682113,30,대전광역시,30200,유성구,3020012600,가정동,3020055000,신성동
159,연구단지네거리,대전광역시 유성구 도룡동 393-2,36.3853927,127.3768557,30,대전광역시,30200,유성구,3020012700,도룡동,3020055000,신성동
160,연구단지운동장(건너편),대전광역시 유성구 신성동 108-2,36.3854144,127.3537444,30,대전광역시,30200,유성구,3020012500,신성동,3020055000,신성동
161,연구단지 KT_G(건너편),대전광역시 유성구 신성동 산19-3,36.3848239,127.3491126,30,대전광역시,30200,유성구,3020012500,신성동,3020055000,신성동
162,송강체육관,대전광역시 유성구 송강동 200-2,36.4317249,127.3868787,30,대전광역시,30200,유성구,3020014700,송강동,3020058000,구즉동
163,송강초등학교,대전광역시 유성구 송강동 199,36.4321752,127.3822936,30,대전광역시,30200,유성구,3020014700,송강동,3020058000,구즉동
164,롯데마트(관평점),대전광역시 유성구 관평동 1286,36.4289971,127.3921453,30,대전광역시,30200,유성구,3020014600,관평동,3020060000,관평동
165,배울네거리,대전광역시 유성구 관평동 912,36.4219214,127.3877926,30,대전광역시,30200,유성구,3020014600,관평동,3020060000,관평동
166,인동네거리,대전광역시 동구 인동 116-18,36.3219967,127.437998,30,대전광역시,30110,동구,3011010200,인동,3011054500,신인동
167,원동네거리,대전광역시 동구 원동 36-1,36.3270613,127.4346149,30,대전광역시,30110,동구,3011010100,원동,3011051500,중앙동
168,성남네거리,대전광역시 동구 성남동 50-1,36.3409907,127.4354418,30,대전광역시,30110,동구,3011011600,성남동,3011066500,성남동
169,삼성네거리,대전광역시 동구 삼성동 112-1,36.3394493,127.4251646,30,대전광역시,30110,동구,3011011800,삼성동,3011069500,삼성동
170,대전고오거리,대전광역시 중구 대흥동 320-2,36.3222122,127.4246765,30,대전광역시,30140,중구,3014010500,대흥동,3014057500,대흥동
171,대흥네거리,대전광역시 중구 대흥동 173-5,36.3236655,127.4284998,30,대전광역시,30140,중구,3014010500,대흥동,3014057500,대흥동
172,부사네거리,대전광역시 중구 부사동 129-5,36.3134491,127.4338764,30,대전광역시,30140,중구,3014011100,부사동,3014064000,부사동
173,무지개아파트,대전광역시 서구 월평동 298,36.3581884,127.3769181,30,대전광역시,30170,서구,3017011300,월평동,3017058700,월평2동
174,가수원네거리(전통시장 입구),대전광역시 서구 가수원동 764-11,36.3047169,127.3529949,30,대전광역시,30170,서구,3017011400,가수원동,3017059000,가수원동
175,건양대네거리,대전광역시 서구 관저동 999,36.303397,127.3389237,30,대전광역시,30170,서구,3017011600,관저동,3017059600,관저1동
176,관저2동주민센터,대전광역시 서구 관저동 1104,36.2992318,127.3352514,30,대전광역시,30170,서구,3017011600,관저동,3017059700,관저2동
177,관저1동주민센터,대전광역시 서구 관저동 999-3,36.3038082,127.3373273,30,대전광역시,30170,서구,3017011600,관저동,3017059600,관저1동
178,노은역 3번출구,대전광역시 유성구 지족동 901-5,36.3744714,127.3184214,30,대전광역시,30200,유성구,3020012000,지족동,3020054600,노은1동
179,반석역 1번출구,대전광역시 유성구 반석동 694,36.3912341,127.314857,30,대전광역시,30200,유성구,3020013900,반석동,3020054800,노은3동
180,전민동주민센터(건너편),대전광역시 유성구 전민동 304-5,36.3993791,127.4018097,30,대전광역시,30200,유성구,3020014100,전민동,3020057000,전민동
181,(공사중)엑스포아파트4단지(건너편),대전광역시 유성구 전민동 385-8,36.3969839,127.4045806,30,대전광역시,30200,유성구,3020014100,전민동,3020057000,전민동
182,한밭대 입구,대전광역시 유성구 덕명동 16-1,36.3509246,127.3010886,30,대전광역시,30200,유성구,3020011300,덕명동,3020053000,온천1동
183,현충원역 3번출구,대전광역시 유성구 구암동 424-67,36.3597065,127.3203506,30,대전광역시,30200,유성구,3020011200,구암동,3020053000,온천1동
184,오정우체국(건너편),대전광역시 대덕구 오정동 432-4,36.3525958,127.4157859,30,대전광역시,30230,대덕구,3023010100,오정동,3023051000,오정동
185,비래동 산림조합,대전광역시 대덕구 비래동 123-7,36.3550388,127.4472948,30,대전광역시,30230,대덕구,3023011000,비래동,3023053300,비래동
186,한밭수목원2,대전광역시 서구 만년동 396,36.3679309,127.3877917,30,대전광역시,30170,서구,3017012800,만년동,3017065000,만년동
187,양우건설 내안애,대전광역시 유성구 원신흥동 485-3,36.3445646,127.3485235,30,대전광역시,30200,유성구,3020011400,원신흥동,3020061000,원신흥동
