,대덕구,동구,서구,유성구,중구
2021-01-01,19,17,19,20,21
2021-01-02,18,18,18,18,21
2021-01-03,17,14,17,17,19
2021-01-04,24,22,25,22,27
2021-01-05,18,16,20,19,17
2021-01-06,15,10,13,12,13
2021-01-07,9,7,8,7,10
2021-01-08,12,10,12,10,12
2021-01-09,14,13,14,12,14
2021-01-10,18,15,17,16,18
2021-01-11,31,25,29,32,32
2021-01-12,32,27,30,32,32
2021-01-13,29,26,27,29,32
2021-01-14,33,28,29,30,34
2021-01-15,31,24,29,28,30
2021-01-16,27,28,30,28,33
2021-01-17,9,8,8,8,8
2021-01-18,16,17,18,17,19
2021-01-19,11,9,11,10,13
2021-01-20,22,16,22,20,22
2021-01-21,32,28,35,31,36
2021-01-22,21,20,30,24,27
2021-01-23,11,15,18,15,19
2021-01-24,8,5,9,6,9
2021-01-25,11,7,12,7,10
2021-01-26,13,10,15,13,13
2021-01-27,20,18,19,18,22
2021-01-28,15,12,15,14,16
2021-01-29,10,8,9,8,11
2021-01-30,24,18,25,19,23
2021-01-31,23,15,22,19,22
2021-03-01,7,8,9,7,9
2021-03-02,5,8,7,6,6
2021-03-03,12,16,17,16,15
2021-03-04,15,18,20,18,17
2021-03-05,21,22,23,22,23
2021-03-06,15,14,19,20,16
2021-03-07,13,14,13,14,15
2021-03-08,33,37,37,37,40
2021-03-09,33,34,35,35,34
2021-03-10,33,34,36,35,35
2021-03-11,40,36,40,40,37
2021-03-12,29,30,35,30,33
2021-03-13,18,23,23,22,21
2021-03-14,34,38,40,36,39
2021-03-15,34,37,31,33,37
2021-03-16,14,17,18,13,15
2021-03-17,20,19,21,17,18
2021-03-18,27,23,25,25,21
2021-03-19,10,9,13,10,9
2021-03-20,9,10,10,9,10
2021-03-21,25,26,27,28,26
2021-03-22,15,14,15,13,16
2021-03-23,23,27,27,28,28
2021-03-24,17,18,17,19,18
2021-03-25,20,19,17,16,17
2021-03-26,29,29,27,26,28
2021-03-27,19,21,23,20,20
2021-03-28,8,12,9,8,10
2021-03-29,42,59,57,53,60
2021-03-30,25,28,31,29,28
2021-03-31,18,19,17,15,18
2021-02-01,39,38,45,43,45
2021-02-02,14,13,15,14,15
2021-02-03,16,12,14,14,15
2021-02-04,13,12,15,13,15
2021-02-05,14,11,14,12,14
2021-02-06,30,27,28,27,27
2021-02-07,37,46,47,45,49
2021-02-08,14,12,13,11,13
2021-02-09,15,12,13,13,14
2021-02-10,22,17,19,19,20
2021-02-11,32,25,31,30,31
2021-02-12,38,33,40,36,39
2021-02-13,42,43,44,42,53
2021-02-14,34,32,39,33,39
2021-02-15,17,20,23,20,21
2021-02-16,10,9,10,9,10
2021-02-17,10,8,9,7,9
2021-02-18,12,10,12,8,11
2021-02-19,20,17,18,16,18
2021-02-20,36,37,39,38,40
2021-02-21,31,32,35,30,36
2021-02-22,27,26,24,21,26
2021-02-23,12,12,12,11,13
2021-02-24,20,16,18,16,20
2021-02-25,26,21,26,24,26
2021-02-26,19,13,17,16,18
2021-02-27,8,8,8,6,9
2021-02-28,9,9,9,8,10
2021-04-01,10,14,14,11,13
2021-04-02,13,14,14,11,14
2021-04-03,12,14,15,13,15
2021-04-04,3,4,4,2,3
2021-04-05,9,9,7,6,7
2021-04-06,19,16,16,16,16
2021-04-07,24,25,23,23,23
2021-04-08,20,18,16,14,16
2021-04-09,14,14,12,9,12
2021-04-10,16,18,15,12,16
2021-04-11,22,20,18,17,19
2021-04-12,15,13,14,12,11
2021-04-13,8,7,7,3,6
2021-04-14,13,12,11,8,12
2021-04-15,16,13,13,11,13
2021-04-16,18,15,15,12,15
2021-04-17,15,20,19,16,19
2021-04-18,12,12,10,8,12
2021-04-19,18,18,17,14,17
2021-04-20,27,28,25,22,27
2021-04-21,28,27,26,23,27
2021-04-22,25,21,24,20,23
2021-04-23,11,9,11,7,10
2021-04-24,12,10,11,8,11
2021-04-25,14,13,14,11,12
2021-04-26,11,7,10,8,8
2021-04-27,17,16,16,17,15
2021-04-28,21,21,21,19,21
2021-04-29,24,21,26,20,21
2021-04-30,17,17,16,14,16
2021-05-01,15,17,15,14,14
2021-05-02,8,8,8,7,8
2021-05-03,11,8,9,8,9
2021-05-04,12,9,13,11,12
2021-05-05,9,9,10,9,10
2021-05-06,17,13,16,15,15
2021-05-07,43,45,55,48,52
2021-05-08,67,82,100,84,89
2021-05-09,16,20,26,19,21
2021-05-10,7,6,9,6,8
2021-05-11,6,7,8,6,7
2021-05-12,9,7,9,7,8
2021-05-13,16,16,18,14,18
2021-05-14,27,28,28,26,30
2021-05-15,17,15,17,15,18
2021-05-16,6,4,5,3,5
2021-05-17,5,3,6,4,3
2021-05-18,17,11,14,14,14
2021-05-19,25,19,17,20,19
2021-05-20,15,14,15,11,12
2021-05-21,8,6,8,5,8
2021-05-22,15,14,14,11,14
2021-05-23,21,19,17,18,18
2021-05-24,30,26,29,28,29
2021-05-25,35,31,36,28,33
2021-05-26,15,12,13,11,12
2021-05-27,16,14,15,12,16
2021-05-28,19,16,17,16,16
2021-05-29,14,13,13,11,14
2021-05-30,17,15,16,13,15
2021-05-31,18,14,15,13,16
2021-06-01,23,21,19,18,21
2021-06-02,29,24,24,23,23
2021-06-03,17,15,16,14,13
2021-06-04,9,8,10,8,11
2021-06-05,35,31,29,29,33
2021-06-06,27,25,27,26,28
2021-06-07,19,22,22,20,22
2021-06-08,34,26,25,27,23
2021-06-09,36,23,24,25,23
2021-06-10,25,26,27,25,23
2021-06-11,17,13,14,12,13
2021-06-12,19,16,20,18,19
2021-06-13,28,29,27,28,28
2021-06-14,32,31,27,28,29
2021-06-15,17,15,17,14,15
2021-06-16,5,3,5,3,4
2021-06-17,7,6,7,5,5
2021-06-18,8,6,7,4,6
2021-06-19,17,15,14,13,16
2021-06-20,23,17,21,18,16
2021-06-21,26,22,22,25,25
2021-06-22,16,13,14,12,11
2021-06-23,17,16,19,16,16
2021-06-24,15,14,16,14,14
2021-06-25,18,15,16,15,14
2021-06-26,11,9,12,10,10
2021-06-27,16,14,14,12,14
2021-06-28,19,15,17,14,15
2021-06-29,17,15,18,14,16
2021-06-30,21,20,25,21,20
2021-07-01,21,19,22,20,18
2021-07-02,11,9,14,11,10
2021-07-03,5,4,6,4,3
2021-07-04,3,2,4,2,3
2021-07-05,8,4,7,4,4
2021-07-06,7,4,5,3,3
2021-07-07,7,4,7,4,5
2021-07-08,7,3,7,4,6
2021-07-09,9,6,9,5,6
2021-07-10,15,12,16,12,12
2021-07-11,11,9,13,8,10
2021-07-12,17,14,18,13,14
2021-07-13,14,9,11,8,9
2021-07-14,8,5,6,5,5
2021-07-15,7,4,7,5,4
2021-07-16,12,10,12,10,10
2021-07-17,8,6,8,6,6
2021-07-18,6,4,5,4,4
2021-07-19,7,4,5,4,4
2021-07-20,12,9,10,8,9
2021-07-21,9,7,10,8,8
2021-07-22,13,12,12,11,12
2021-07-23,15,13,15,12,13
2021-07-24,15,14,15,11,13
2021-07-25,14,12,14,10,12
2021-07-26,11,9,11,8,11
2021-07-27,12,10,12,9,10
2021-07-28,11,8,12,9,9
2021-07-29,24,16,20,18,16
2021-07-30,15,10,12,9,10
2021-07-31,10,7,10,5,9
2021-09-01,9,9,6,9,6
2021-09-02,5,7,3,5,5
2021-09-03,7,7,5,6,6
2021-09-04,6,7,4,6,5
2021-09-05,7,8,4,6,6
2021-09-06,7,6,4,6,6
2021-09-07,7,8,7,7,6
2021-09-08,8,10,7,8,9
2021-09-09,12,13,13,13,11
2021-09-10,13,15,15,14,12
2021-09-11,13,15,14,13,13
2021-09-12,23,22,23,24,19
2021-09-13,10,13,14,13,11
2021-09-14,5,7,4,4,5
2021-09-15,7,8,6,6,7
2021-09-16,6,7,5,5,5
2021-09-17,4,5,4,3,4
2021-09-18,5,5,6,5,6
2021-09-19,6,8,6,6,6
2021-09-20,7,9,8,8,9
2021-09-21,9,9,9,10,8
2021-09-22,9,7,10,10,12
2021-09-23,8,6,8,7,10
2021-09-24,9,6,9,7,10
2021-09-25,5,2,4,3,5
2021-09-26,4,3,4,3,5
2021-09-27,5,3,4,3,5
2021-09-28,7,6,7,5,8
2021-09-29,10,8,9,8,9
2021-09-30,9,8,13,11,12
2021-10-01,27,21,21,21,22
2021-10-02,15,16,16,15,17
2021-10-03,17,15,18,17,18
2021-10-04,18,19,19,17,16
2021-10-05,11,11,12,12,13
2021-10-06,9,8,10,10,10
2021-10-07,10,8,7,9,9
2021-10-08,11,8,11,13,9
2021-10-09,9,9,10,9,11
2021-10-10,13,14,15,12,14
2021-10-11,9,7,11,9,7
2021-10-12,2,3,4,2,4
2021-10-13,4,3,4,3,5
2021-10-14,10,7,7,7,10
2021-10-15,21,16,20,18,15
2021-10-16,6,8,8,10,11
2021-10-17,9,8,9,7,9
2021-10-18,15,9,10,8,10
2021-10-19,19,14,14,14,15
2021-10-20,23,17,17,17,18
2021-10-21,35,22,20,23,22
2021-10-22,34,29,25,26,28
2021-10-23,25,17,20,18,20
2021-10-24,24,19,19,19,19
2021-10-25,31,24,23,23,24
2021-10-26,38,29,26,26,31
2021-10-27,32,28,26,27,27
2021-10-28,20,13,15,13,15
2021-10-29,15,8,12,9,10
2021-10-30,14,10,13,11,14
2021-10-31,17,15,16,15,15
2021-11-01,21,17,19,19,18
2021-11-02,23,20,22,21,21
2021-11-03,30,25,26,26,25
2021-11-04,31,28,29,31,28
2021-11-05,28,31,27,31,29
2021-11-06,23,21,21,21,22
2021-11-07,15,11,14,12,12
2021-11-08,6,4,6,4,6
2021-11-09,6,4,5,4,6
2021-11-10,7,5,6,6,6
2021-11-11,6,5,7,6,7
2021-11-12,9,7,8,7,9
2021-11-13,13,9,10,10,11
2021-11-14,24,21,21,23,21
2021-11-15,28,26,26,29,24
2021-11-16,23,21,22,24,23
2021-11-17,20,15,17,17,16
2021-11-18,25,19,21,22,20
2021-11-19,32,26,28,31,26
2021-11-20,48,43,46,55,41
2021-11-21,49,46,50,51,44
2021-11-22,12,13,12,15,13
2021-11-23,11,9,10,10,11
2021-11-24,12,9,10,9,10
2021-11-25,21,17,18,19,21
2021-11-26,17,15,16,14,17
2021-11-27,23,18,20,19,22
2021-11-28,23,19,20,19,18
2021-11-29,23,16,20,20,18
2021-11-30,13,10,14,13,12
2021-12-01,7,7,9,7,9
2021-12-02,13,9,10,9,11
2021-12-03,10,9,9,10,11
2021-12-04,12,9,10,11,14
2021-12-05,18,16,18,19,17
2021-12-06,30,22,24,26,23
2021-12-07,36,32,32,37,33
2021-12-08,32,30,32,36,32
2021-12-09,23,16,19,21,17
2021-12-10,24,20,19,20,22
2021-12-11,29,33,24,32,30
2021-12-12,24,27,24,28,24
2021-12-13,9,10,9,9,11
2021-12-14,15,13,11,11,12
2021-12-15,26,30,24,28,28
2021-12-16,48,58,45,59,53
2021-12-17,15,19,15,18,15
2021-12-18,9,10,7,8,9
2021-12-19,12,14,10,11,12
2021-12-20,22,22,17,19,18
2021-12-21,35,34,27,34,29
2021-12-22,24,24,24,22,24
2021-12-23,35,29,27,31,27
2021-12-24,38,39,36,41,33
2021-12-25,8,12,11,10,10
2021-12-26,8,12,8,10,9
2021-12-27,12,13,15,11,12
2021-12-28,34,30,28,37,29
2021-12-29,35,24,27,36,23
2021-12-30,11,8,10,10,10
2021-12-31,8,6,9,7,10
2021-08-01,14,10,14,9,11
2021-08-02,6,3,5,2,5
2021-08-03,8,3,9,3,8
2021-08-04,13,12,13,8,14
2021-08-05,16,13,14,10,12
2021-08-06,12,13,8,10,13
2021-08-07,14,15,11,11,12
2021-08-08,13,14,9,11,10
2021-08-09,7,10,11,5,9
2021-08-10,8,10,7,6,8
2021-08-11,14,7,11,10,11
2021-08-12,23,15,19,18,17
2021-08-13,12,15,13,12,12
2021-08-14,7,11,6,5,10
2021-08-15,5,9,5,3,6
2021-08-16,8,12,8,6,11
2021-08-17,8,11,7,7,7
2021-08-18,6,8,7,6,7
2021-08-19,8,7,8,5,7
2021-08-20,7,8,7,6,8
2021-08-21,6,9,5,5,5
2021-08-22,9,12,8,8,10
2021-08-23,4,7,5,7,7
2021-08-24,6,7,4,4,4
2021-08-25,6,6,5,3,6
2021-08-26,17,15,14,12,15
2021-08-27,15,19,13,17,14
2021-08-28,19,18,17,21,16
2021-08-29,15,15,12,15,11
2021-08-30,21,22,21,24,16
2021-08-31,18,16,14,19,12
