,대덕구,동구,서구,유성구,중구
2017-03-01,34,24,30,28,28
2017-03-02,22,19,16,19,17
2017-03-03,19,16,16,16,15
2017-03-04,37,23,29,29,25
2017-03-05,48,24,33,34,27
2017-03-06,24,19,22,22,20
2017-03-07,16,13,12,13,11
2017-03-08,15,15,14,14,12
2017-03-09,25,21,23,21,19
2017-03-10,25,19,21,21,21
2017-03-11,38,27,33,29,28
2017-03-12,59,35,50,42,44
2017-03-13,50,36,45,38,42
2017-03-14,33,27,29,26,27
2017-03-15,30,23,26,24,23
2017-03-16,34,24,27,28,24
2017-03-17,40,28,34,33,29
2017-03-18,40,28,39,33,31
2017-03-19,45,30,42,39,32
2017-03-20,38,26,38,40,21
2017-03-21,32,26,32,28,33
2017-03-22,27,25,27,24,31
2017-03-23,40,30,38,32,42
2017-03-24,39,26,37,31,36
2017-03-25,28,18,25,25,24
2017-03-26,27,22,26,26,29
2017-03-27,44,31,40,40,43
2017-03-28,44,30,39,39,38
2017-03-29,25,16,22,23,23
2017-03-30,47,31,43,38,43
2017-03-31,28,21,30,32,32
2017-02-01,22,15,14,18,20
2017-02-02,17,13,11,12,15
2017-02-03,40,29,31,31,31
2017-02-04,87,51,72,65,69
2017-02-05,71,38,58,53,56
2017-02-06,30,23,24,24,28
2017-02-07,30,22,26,24,31
2017-02-08,31,23,25,27,29
2017-02-09,14,13,11,12,13
2017-02-10,13,13,10,11,11
2017-02-11,13,14,11,16,11
2017-02-12,12,13,8,12,11
2017-02-13,26,20,19,23,20
2017-02-14,35,30,34,35,35
2017-02-15,40,33,39,35,39
2017-02-16,40,27,35,29,30
2017-02-17,15,15,13,15,12
2017-02-18,13,12,10,11,10
2017-02-19,22,18,18,19,16
2017-02-20,18,19,16,15,16
2017-02-21,25,20,25,23,25
2017-02-22,19,13,19,17,17
2017-02-23,16,17,13,14,14
2017-02-24,14,14,11,12,11
2017-02-25,19,17,17,18,16
2017-02-26,34,26,33,32,32
2017-02-27,30,23,26,23,26
2017-02-28,31,21,26,24,25
2017-01-01,35,31,29,33,30
2017-01-02,44,33,34,40,38
2017-01-03,56,50,50,63,52
2017-01-04,48,33,40,42,40
2017-01-05,29,23,26,24,27
2017-01-06,8,8,5,8,8
2017-01-07,30,19,21,25,23
