,대덕구,동구,서구,유성구,중구
2016-11-01,10,10,6,11,9
2016-11-02,17,14,10,16,15
2016-11-03,30,24,18,27,24
2016-11-04,31,31,22,29,29
2016-11-05,36,36,28,38,30
2016-11-06,22,23,18,31,22
2016-11-07,24,24,19,24,21
2016-11-08,35,34,23,31,29
2016-11-09,33,31,23,29,32
2016-11-10,30,22,22,27,25
2016-11-11,22,22,15,22,19
2016-11-12,30,30,21,28,25
2016-11-13,28,29,21,27,25
2016-11-14,27,31,18,23,22
2016-11-15,20,21,12,18,17
2016-11-16,32,26,20,24,25
2016-11-17,56,41,35,43,43
2016-11-18,61,43,43,56,47
2016-11-19,21,24,18,39,18
2016-11-20,26,26,19,30,24
2016-11-21,32,35,28,33,31
2016-11-22,18,16,12,16,16
2016-11-23,16,13,9,14,14
2016-11-24,16,12,8,14,13
2016-11-25,28,20,17,21,21
2016-11-26,38,28,29,37,39
2016-11-27,21,22,16,32,28
2016-11-28,26,33,19,33,33
2016-11-29,26,20,14,20,21
2016-11-30,31,20,18,26,21
2016-08-01,20,22,15,17,18
2016-08-02,17,20,15,14,19
2016-08-03,11,8,7,9,10
2016-08-04,13,13,10,10,13
2016-08-05,19,20,16,19,18
2016-08-06,23,22,19,20,18
2016-08-07,23,24,17,17,20
2016-08-08,26,19,16,22,17
2016-08-09,17,17,12,14,15
2016-08-10,28,26,22,23,24
2016-08-11,21,21,16,17,21
2016-08-12,22,20,17,16,19
2016-08-13,21,21,19,16,21
2016-08-14,27,27,21,20,25
2016-08-15,24,22,20,17,20
2016-08-16,25,23,18,20,21
2016-08-17,31,30,25,26,27
2016-08-18,22,20,22,22,22
2016-08-19,20,18,11,17,12
2016-08-20,12,9,4,17,13
2016-08-21,8,5,3,6,7
2016-08-22,15,14,6,15,13
2016-08-23,14,10,7,15,14
2016-08-24,11,8,5,11,9
2016-08-25,21,15,9,17,15
2016-08-26,9,7,4,9,8
2016-08-27,4,2,3,6,3
2016-08-28,3,2,3,5,3
2016-08-29,5,4,3,5,5
2016-08-30,9,9,4,8,7
2016-08-31,9,10,6,9,8
2016-07-01,8,6,6,6,6
2016-07-02,7,5,5,5,7
2016-07-03,14,13,11,14,14
2016-07-04,6,2,3,4,4
2016-07-05,5,5,3,3,4
2016-07-06,9,7,6,6,10
2016-07-07,10,8,7,7,8
2016-07-08,10,7,7,8,8
2016-07-09,29,23,19,25,20
2016-07-10,19,18,15,13,17
2016-07-11,24,23,18,19,21
2016-07-12,18,17,13,13,15
2016-07-13,27,24,19,19,23
2016-07-14,17,14,13,10,17
2016-07-15,7,4,5,5,7
2016-07-16,6,5,5,5,7
2016-07-17,5,3,3,3,5
2016-07-18,7,7,6,7,9
2016-07-19,19,15,14,18,17
2016-07-20,20,19,19,20,21
2016-07-21,12,12,12,12,14
2016-07-22,19,18,15,18,17
2016-07-23,22,21,16,19,19
2016-07-24,14,16,13,12,16
2016-07-25,17,17,12,12,14
2016-07-26,15,11,10,11,13
2016-07-27,14,12,10,10,12
2016-07-28,31,28,22,23,23
2016-07-29,28,24,18,20,23
2016-07-30,18,18,12,15,16
2016-07-31,28,23,17,18,18
2016-10-01,8,10,4,13,7
2016-10-02,6,9,4,12,6
2016-10-03,8,11,5,9,7
2016-10-04,12,14,8,16,10
2016-10-05,10,12,5,12,10
2016-10-06,16,19,10,17,15
2016-10-07,13,12,7,15,10
2016-10-08,8,9,6,9,8
2016-10-09,10,12,7,11,11
2016-10-10,15,16,11,16,15
2016-10-11,23,21,13,22,18
2016-10-12,24,23,15,23,21
2016-10-13,22,22,15,17,18
2016-10-14,35,36,26,39,28
2016-10-15,41,47,34,54,40
2016-10-16,26,26,22,35,23
2016-10-17,18,19,11,25,15
2016-10-18,27,29,15,40,23
2016-10-19,23,27,15,31,20
2016-10-20,28,32,20,41,23
2016-10-21,15,17,11,19,14
2016-10-22,11,13,7,15,11
2016-10-23,7,8,5,10,6
2016-10-24,7,8,4,10,6
2016-10-25,12,11,6,11,8
2016-10-26,18,18,13,29,16
2016-10-27,14,19,10,27,15
2016-10-28,11,15,8,16,11
2016-10-29,17,17,11,17,15
2016-10-30,15,14,9,15,13
2016-10-31,23,17,13,20,18
2016-12-01,27,23,14,24,24
2016-12-02,22,19,13,19,20
2016-12-03,43,27,26,30,31
2016-12-04,59,35,37,45,44
2016-12-05,65,43,50,59,52
2016-12-06,13,10,7,11,12
2016-12-07,29,22,19,26,25
2016-12-08,40,29,25,36,33
2016-12-09,32,23,20,26,25
2016-12-10,20,17,14,17,20
2016-12-11,26,22,21,22,26
2016-12-12,41,26,27,33,29
2016-12-13,48,34,32,37,40
2016-12-14,31,24,23,25,29
2016-12-15,21,12,10,13,13
2016-12-16,18,14,9,16,15
2016-12-17,21,21,15,19,20
2016-12-18,24,19,17,23,18
2016-12-19,20,18,19,22,19
2016-12-20,32,25,24,36,31
2016-12-21,25,21,17,28,21
2016-12-22,12,10,8,10,10
2016-12-23,20,18,11,14,16
2016-12-24,40,38,32,41,37
2016-12-25,54,45,41,54,50
2016-12-26,37,28,27,35,32
2016-12-27,22,15,13,17,16
2016-12-28,29,20,14,22,21
2016-12-29,21,14,12,17,17
2016-12-30,21,18,13,18,18
2016-12-31,29,23,19,28,26
2016-01-01,44,44,44,44,44
2016-01-02,31,31,31,31,31
2016-01-03,43,43,43,43,43
2016-01-04,63,63,63,63,63
2016-01-05,18,18,18,18,18
2016-01-06,34,34,34,34,34
2016-01-07,25,25,25,25,25
2016-01-08,18,18,18,18,18
2016-01-09,20,20,20,20,20
2016-01-10,33,33,33,33,33
2016-01-11,26,26,26,26,26
2016-01-12,25,25,25,25,25
2016-01-13,16,16,16,16,16
2016-01-14,19,19,19,19,19
2016-01-15,36,36,36,36,36
2016-01-16,58,58,58,58,58
2016-01-17,54,54,54,54,54
2016-01-18,25,25,25,25,25
2016-01-19,7,7,7,7,7
2016-01-20,23,23,23,23,23
2016-01-21,35,35,35,35,35
2016-01-22,27,27,27,27,27
2016-01-23,15,15,15,15,15
2016-01-24,17,17,17,17,17
2016-01-25,22,22,22,22,22
2016-01-26,39,39,39,39,39
2016-01-27,48,48,48,48,48
2016-01-28,63,63,63,63,63
