지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),현상번호(국내식),지면온도(°C)
133,대전,2018-01-01 00:00,-2.2,,1.4,70,,,-1.5
133,대전,2018-01-01 01:00,-2.5,,1.5,67,,,-1.7
133,대전,2018-01-01 02:00,-2.9,,.9,63,,,-1.9
133,대전,2018-01-01 03:00,-3,,.7,64,,,-2.1
133,대전,2018-01-01 04:00,-3.4,,.9,73,,,-2.3
133,대전,2018-01-01 05:00,-4,,1,78,,,-2.7
133,대전,2018-01-01 06:00,-4.9,,.2,77,,,-2.8
133,대전,2018-01-01 07:00,-4.9,,.8,82,,,-3.1
133,대전,2018-01-01 08:00,-5.2,,1.1,82,0,,-3.2
133,대전,2018-01-01 09:00,-4.2,,.2,80,1,,-1.4
133,대전,2018-01-01 10:00,-1.3,,.6,69,1,,.7
133,대전,2018-01-01 11:00,1.9,,.9,51,1,,1.6
133,대전,2018-01-01 12:00,3.2,,1.5,29,1,,2.5
133,대전,2018-01-01 13:00,3.8,,2.2,31,1,,3.9
133,대전,2018-01-01 14:00,4.5,,2.2,34,1,,5
133,대전,2018-01-01 15:00,4.8,,1.5,35,1,,3.5
133,대전,2018-01-01 16:00,4.2,,1.7,40,.4,,2.5
133,대전,2018-01-01 17:00,3.2,,1.1,47,.6,,-.2
133,대전,2018-01-01 18:00,2.2,,1.4,50,0,,-.2
133,대전,2018-01-01 19:00,1,,.7,56,,,-.6
133,대전,2018-01-01 20:00,-.2,,1.4,63,,,-.8
133,대전,2018-01-01 21:00,-.9,,1.4,68,,,-1
133,대전,2018-01-01 22:00,-1.6,,.3,71,,,-1.1
133,대전,2018-01-01 23:00,-2.2,,.3,72,,,-1.3
133,대전,2018-01-02 00:00,-2.6,,.3,77,,,-1.4
133,대전,2018-01-02 01:00,-2.8,,.4,79,,,-1.6
133,대전,2018-01-02 02:00,-3.4,,.1,81,,,-1.8
133,대전,2018-01-02 03:00,-3.7,,.4,83,,19,-2
133,대전,2018-01-02 04:00,-4,,.5,85,,19,-2.2
133,대전,2018-01-02 05:00,-4.4,,.3,86,,19,-2.4
133,대전,2018-01-02 06:00,-4.3,,1,88,,19,-2.6
133,대전,2018-01-02 07:00,-4.5,,.4,88,,19,-2.8
133,대전,2018-01-02 08:00,-4.6,,1,89,0,19,-2.8
133,대전,2018-01-02 09:00,-3.9,,.5,88,0,19,-1
133,대전,2018-01-02 10:00,-2.4,,.4,85,0,19,-.1
133,대전,2018-01-02 11:00,0,,.5,78,0,19,.6
133,대전,2018-01-02 12:00,1.5,,.5,74,0,19,.4
133,대전,2018-01-02 13:00,3.6,,1.6,71,.1,19,1.3
133,대전,2018-01-02 14:00,4,,2.2,74,.2,19,1.3
133,대전,2018-01-02 15:00,4.1,,2.1,71,0,19,1.2
133,대전,2018-01-02 16:00,3.1,,1.4,76,0,19,.2
133,대전,2018-01-02 17:00,2.3,,1.1,76,0,19,-.5
133,대전,2018-01-02 18:00,.9,,1.1,76,0,19,-.3
133,대전,2018-01-02 19:00,-.3,,1.3,64,,4019,-.3
133,대전,2018-01-02 20:00,-.9,,.9,65,,,-.3
133,대전,2018-01-02 21:00,-1.2,,1.1,56,,,-.4
133,대전,2018-01-02 22:00,-1.7,,1.8,61,,,-.5
133,대전,2018-01-02 23:00,-1.7,,1.5,56,,,-.8
133,대전,2018-01-03 00:00,-1.5,,1.6,53,,,-1
133,대전,2018-01-03 01:00,-2.1,,1.6,57,,,-1.4
133,대전,2018-01-03 02:00,-2.4,,1.8,59,,,-1.7
133,대전,2018-01-03 03:00,-2.5,,2.9,61,,,-1.6
133,대전,2018-01-03 04:00,-3,,1.6,58,,,-1.7
133,대전,2018-01-03 05:00,-3.9,,1.1,58,,,-2.1
133,대전,2018-01-03 06:00,-5,,.2,55,,,-2.6
133,대전,2018-01-03 07:00,-5.7,,.6,54,,,-3.2
133,대전,2018-01-03 08:00,-5.7,,.9,61,0,,-3.6
133,대전,2018-01-03 09:00,-4.7,,.5,58,1,,-2.3
133,대전,2018-01-03 10:00,-2.3,,.5,50,1,,-.2
133,대전,2018-01-03 11:00,-1.3,,1.1,46,1,,.7
133,대전,2018-01-03 12:00,-.1,,1.6,44,1,,1.8
133,대전,2018-01-03 13:00,1.2,,1.9,41,1,,3.9
133,대전,2018-01-03 14:00,2.3,,1.9,39,1,,4.3
133,대전,2018-01-03 15:00,2.6,,3,33,1,,3.4
133,대전,2018-01-03 16:00,2.3,,2.4,33,1,,1.7
133,대전,2018-01-03 17:00,.3,,2.1,35,.7,,-.3
133,대전,2018-01-03 18:00,-1.4,,1.6,43,0,,-.4
133,대전,2018-01-03 19:00,-2.6,,1,53,,,-.7
133,대전,2018-01-03 20:00,-3.3,,1.3,59,,,-1
133,대전,2018-01-03 21:00,-3.9,,.5,62,,,-1.1
133,대전,2018-01-03 22:00,-3.9,,1.1,64,,,-1.2
133,대전,2018-01-03 23:00,-3.8,,1.1,66,,,-1.6
133,대전,2018-01-04 00:00,-4.1,,.9,69,,,-1.8
133,대전,2018-01-04 01:00,-4.2,,.9,71,,,-1.8
133,대전,2018-01-04 02:00,-4.2,,1,72,,,-1.9
133,대전,2018-01-04 03:00,-4.2,,1.5,75,,,-2.1
133,대전,2018-01-04 04:00,-4.5,,1.6,74,,,-2.2
133,대전,2018-01-04 05:00,-4.7,,1.2,75,,,-2.2
133,대전,2018-01-04 06:00,-5.1,,1.3,74,,,-2.7
133,대전,2018-01-04 07:00,-5.7,,.8,69,,,-3.2
133,대전,2018-01-04 08:00,-6.1,,.6,68,0,,-3.5
133,대전,2018-01-04 09:00,-5.7,,1.1,66,.1,,-2.7
133,대전,2018-01-04 10:00,-4.3,,1,58,.8,,-.5
133,대전,2018-01-04 11:00,-3.1,,1.1,47,.7,,.2
133,대전,2018-01-04 12:00,-1.7,,1.3,43,1,,1.3
133,대전,2018-01-04 13:00,-1.1,,1,40,1,,2
133,대전,2018-01-04 14:00,-.5,,1.7,43,.9,,1.4
133,대전,2018-01-04 15:00,-.3,,1.4,39,.4,,1.4
133,대전,2018-01-04 16:00,-.5,,1.4,41,0,,0
133,대전,2018-01-04 17:00,-.9,,.7,43,0,,-.2
133,대전,2018-01-04 18:00,-1.4,,.6,44,0,,-.2
133,대전,2018-01-04 19:00,-1.7,,.7,46,,,-.3
133,대전,2018-01-04 20:00,-1.7,,.7,47,,,-.3
133,대전,2018-01-04 21:00,-2.1,,.5,50,,,-.4
133,대전,2018-01-04 22:00,-2.2,,1.1,52,,,-.4
133,대전,2018-01-04 23:00,-2.3,,.8,52,,,-.5
133,대전,2018-01-05 00:00,-2.6,,.6,53,,,-.7
133,대전,2018-01-05 01:00,-2.9,,.7,55,,,-.9
133,대전,2018-01-05 02:00,-3,,.4,57,,,-1.1
133,대전,2018-01-05 03:00,-3.1,,.6,56,,,-1.4
133,대전,2018-01-05 04:00,-3.4,,.3,58,,,-1.4
133,대전,2018-01-05 05:00,-3.2,,.7,59,,,-1.5
133,대전,2018-01-05 06:00,-3.4,,.8,59,,,-1.6
133,대전,2018-01-05 07:00,-3.4,,.4,58,,,-1.7
133,대전,2018-01-05 08:00,-3.5,,.7,63,0,,-1.9
