,대덕구,동구,서구,유성구,중구
2020-01-01,27,23,27,30,30
2020-01-02,58,52,49,59,62
2020-01-03,76,71,63,81,81
2020-01-04,65,65,65,72,73
2020-01-05,50,43,46,52,49
2020-01-06,35,27,29,39,28
2020-01-07,12,12,12,10,12
2020-01-08,30,24,29,26,27
2020-01-09,46,38,42,42,48
2020-01-10,56,48,50,57,59
2020-01-11,60,50,51,57,58
2020-01-12,27,27,29,31,33
2020-01-13,24,19,21,21,26
2020-01-14,34,31,30,31,39
2020-01-15,42,37,37,37,44
2020-01-16,43,37,38,40,45
2020-01-17,56,52,48,55,62
2020-01-18,55,49,47,52,56
2020-01-19,50,56,58,61,65
2020-01-20,63,53,56,57,61
2020-01-21,43,31,37,38,40
2020-01-22,56,39,46,49,47
2020-01-23,54,46,47,50,57
2020-01-24,79,77,70,74,84
2020-01-25,62,53,52,56,56
2020-01-26,32,21,29,35,26
2020-01-27,7,7,10,7,9
2020-01-28,17,15,18,15,19
2020-01-29,22,20,23,21,28
2020-01-30,25,26,26,25,30
2020-01-31,44,40,40,42,41
2020-02-01,65,61,63,64,68
2020-02-02,73,67,71,75,71
2020-02-03,38,33,37,39,39
2020-02-04,35,28,30,29,33
2020-02-05,19,20,21,22,26
2020-02-06,34,34,34,37,43
2020-02-07,45,43,42,45,50
2020-02-08,39,36,36,40,41
2020-02-09,28,28,31,31,32
2020-02-10,47,43,44,46,52
2020-02-11,58,46,54,58,59
2020-02-12,36,32,37,37,35
2020-02-13,30,30,28,32,31
2020-02-14,70,65,62,79,74
2020-02-15,61,54,53,66,61
2020-02-16,21,16,22,18,20
2020-02-17,30,20,32,24,32
2020-02-18,26,22,28,22,33
2020-02-19,35,31,31,33,39
2020-02-20,55,50,44,52,53
2020-02-21,66,58,50,64,59
2020-02-22,75,64,71,71,69
2020-02-23,25,24,28,27,28
2020-02-24,33,26,30,29,31
2020-02-25,12,9,11,10,8
2020-02-26,20,17,21,18,23
2020-02-27,28,28,30,28,31
2020-02-28,21,21,25,27,24
2020-04-01,57,48,45,53,47
2020-04-02,40,35,37,38,39
2020-04-03,49,43,40,46,42
2020-04-04,72,67,57,78,66
2020-04-05,34,31,37,38,36
2020-04-06,49,40,42,45,44
2020-04-07,62,56,49,58,55
2020-04-08,38,33,31,37,35
2020-04-09,38,32,36,34,37
2020-04-10,40,36,38,42,37
2020-04-11,40,38,39,40,40
2020-04-12,28,28,28,27,30
2020-04-13,22,19,23,18,23
2020-04-14,36,28,35,33,30
2020-04-15,58,48,46,49,47
2020-04-16,56,46,51,52,49
2020-04-17,34,31,35,33,32
2020-04-18,42,41,42,38,41
2020-04-19,24,25,26,24,25
2020-04-20,17,15,17,14,17
2020-04-21,40,31,32,34,33
2020-04-22,74,61,64,71,65
2020-04-23,59,50,55,56,55
2020-04-24,42,38,41,48,40
2020-04-25,75,62,64,85,63
2020-04-26,31,29,28,27,29
2020-04-27,32,28,30,33,31
2020-04-28,36,30,31,37,35
2020-04-29,41,37,34,40,37
2020-04-30,39,32,35,34,34
2020-05-01,47,42,44,45,41
2020-05-02,39,35,40,37,35
2020-05-03,19,20,24,17,20
2020-05-04,32,25,27,27,22
2020-05-05,33,33,31,30,31
2020-05-06,33,34,29,37,30
2020-05-07,26,27,22,23,25
2020-05-08,24,19,27,24,25
2020-05-09,10,13,12,10,9
2020-05-10,21,25,23,22,21
2020-05-11,63,56,53,66,51
2020-05-12,58,56,52,65,52
2020-05-13,33,29,33,31,31
2020-05-14,62,48,56,57,53
2020-05-15,39,42,47,39,42
