id,version,station_name,gu,dong,latitude,longitude
310,타슈2(시범),스카이뷰로드 오피스텔(봉명동),유성구,봉명동,36.357716,127.342709
311,타슈2(시범),매드블럭(봉명동),유성구,봉명동,36.358697,127.343532
312,타슈2(시범),홈플러스(유성점),유성구,봉명동,36.359389,127.354160
313,타슈2(시범),유성온천역 7번출구,유성구,온천1동,36.353892,127.341890
314,타슈2(시범),만년동 행정복지센터,서구,만년동,36.367645,127.375195
315,타슈2(시범),초원아파트(107동 버스정류장),서구,만년동,36.367622,127.379386
316,타슈2(시범),한밭수목원(서원),서구,만년동,36.369195,127.387595
317,타슈2(시범),한밭수목원(동원),서구,만년동,36.369245,127.388462
318,타슈2(시범),둔산대공원 입구(버스정류장),서구,둔산2동,36.365018,127.389358
319,타슈2(시범),누리아파트(후문 버스정류장),서구,월평3동,36.359288,127.374225
320,타슈2(시범),백합아파트(성룡초교),서구,월평2동,36.361736,127.374386
321,타슈2(시범),정부청사 입구(대덕대로),서구,둔산2동,36.361912,127.379653
322,타슈2(시범),정부청사역 4번출구,서구,둔산2동,36.357979,127.382026
323,타슈2(시범),정부청사 입구(남문),서구,둔산동,36.359685,127.385324
324,타슈2(시범),정부청사 입구(샘머리),서구,둔산2동,36.361215,127.390075
325,타슈2(시범),수정타운아파트(13동),서구,둔산동,36.357862,127.397895
326,타슈2(시범),갑천역 1번출구,서구,월평동,36.354442,127.354602
327,타슈2(시범),월평역 2번출구,서구,월평동,36.358516,127.361015
328,타슈2(시범),진달래아파트(107동),서구,월평1동,36.358217,127.366151
329,타슈2(시범),갈마역 2번출구,서구,둔산동,36.357528,127.371964
330,타슈2(시범),둔산 하이마트,서구,둔산2동,36.355565,127.379185
331,타슈2(시범),을지대학병원,서구,둔산2동,36.354395,127.382755
332,타슈2(시범),둔산 홈플러스(법원 버스정류장),서구,둔산1동,36.355305,127.390019
333,타슈2(시범),국화아파트(501동),서구,둔산3동,36.354435,127.395405
334,타슈2(시범),둔산여고,서구,둔산동,36.352995,127.374385
335,타슈2(시범),타임월드,서구,둔산2동,36.352636,127.379105
336,타슈2(시범),대전시청,서구,둔산1동,36.351105,127.384735
337,타슈2(시범),현대아이텔(시청역 6번출구),서구,둔산1동,36.351370,127.387935
338,타슈2(시범),크로바아파트(정문 맞은편),서구,둔산1동,36.351177,127.391784
339,타슈2(시범),청솔아파트(9동),서구,둔산동,36.351335,127.398595
340,타슈2(시범),오페라웨딩홀,서구,둔산동,36.348715,127.382775
341,타슈2(시범),대전종합고용지원센터(탄방역 4번출구),서구,탄방동,36.346626,127.385388
342,타슈2(시범),한가람아파트,서구,탄방동,36.346785,127.393515
