,대덕구,동구,서구,유성구,중구
2020-01-01,17,16,17,15,16
2020-01-02,35,35,33,33,33
2020-01-03,44,44,38,43,42
2020-01-04,36,43,39,40,42
2020-01-05,30,29,29,29,30
2020-01-06,22,18,20,20,19
2020-01-07,10,9,7,5,8
2020-01-08,23,20,21,17,21
2020-01-09,33,28,28,26,30
2020-01-10,36,34,33,34,35
2020-01-11,37,34,33,34,33
2020-01-12,17,19,18,16,17
2020-01-13,13,11,11,10,9
2020-01-14,21,19,18,18,19
2020-01-15,25,25,23,21,23
2020-01-16,26,23,24,22,24
2020-01-17,34,33,33,29,35
2020-01-18,33,31,30,29,31
2020-01-19,34,38,37,38,37
2020-01-20,31,27,29,25,25
2020-01-21,25,18,20,17,19
2020-01-22,38,26,30,26,27
2020-01-23,34,30,29,29,32
2020-01-24,54,52,46,46,54
2020-01-25,42,35,34,35,36
2020-01-26,21,14,19,21,16
2020-01-27,4,3,4,2,3
2020-01-28,11,9,9,8,10
2020-01-29,12,12,11,10,12
2020-01-30,18,16,16,13,17
2020-01-31,32,28,27,25,27
2020-02-01,51,47,44,43,49
2020-02-02,52,51,51,50,50
2020-02-03,27,24,25,22,23
2020-02-04,25,19,20,15,19
2020-02-05,12,11,9,8,9
2020-02-06,20,18,15,17,19
2020-02-07,30,26,27,25,28
2020-02-08,29,26,25,24,25
2020-02-09,22,18,19,18,20
2020-02-10,35,29,30,27,31
2020-02-11,39,29,37,30,32
2020-02-12,27,21,28,27,23
2020-02-13,22,20,18,21,21
2020-02-14,53,43,42,47,47
2020-02-15,39,37,36,39,38
2020-02-16,12,13,10,11,10
2020-02-17,18,12,12,10,10
2020-02-18,18,15,14,13,14
2020-02-19,23,18,18,18,19
2020-02-20,35,31,29,31,32
2020-02-21,38,35,33,36,34
2020-02-22,29,26,25,26,24
2020-02-23,13,12,13,11,11
2020-02-24,20,14,17,14,15
2020-02-25,10,5,7,8,5
2020-02-26,13,9,10,10,10
2020-02-27,17,16,17,17,15
2020-02-28,15,14,16,17,15
2020-03-01,25,26,23,27,24
2020-03-02,30,29,28,29,28
2020-03-03,29,26,26,28,27
2020-03-04,25,21,20,21,19
2020-03-05,28,25,26,24,26
2020-03-06,25,20,21,20,23
2020-03-07,27,22,25,23,23
2020-03-08,24,22,23,23,23
2020-03-09,30,27,28,30,28
2020-03-10,31,27,23,29,27
2020-03-11,15,11,12,11,11
2020-03-12,15,11,11,12,11
2020-03-13,12,10,10,10,10
2020-03-14,15,13,13,14,12
2020-03-15,16,17,16,17,15
2020-03-16,14,12,12,12,11
2020-03-17,23,20,16,20,18
2020-03-18,26,24,20,25,23
2020-03-19,21,18,17,19,18
2020-03-20,12,8,8,9,9
2020-03-21,23,17,19,21,18
2020-03-22,22,22,19,23,20
2020-03-23,24,20,20,22,21
2020-03-24,34,29,29,33,30
2020-03-25,38,31,30,34,32
2020-03-26,31,23,26,27,25
2020-03-27,19,18,15,18,16
2020-03-28,9,10,9,9,8
2020-03-29,14,12,13,13,12
2020-03-30,20,15,17,18,14
2020-03-31,25,18,18,21,19
2020-04-01,25,21,23,24,23
