,대덕구,동구,서구,유성구,중구
2019-01-01,49,41,38,49,48
2019-01-02,41,37,32,35,46
2019-01-03,56,45,41,45,47
2019-01-04,81,54,49,61,61
2019-01-05,73,65,57,69,71
2019-01-06,58,51,43,54,55
2019-01-07,82,64,55,67,72
2019-01-08,76,58,46,58,60
2019-01-09,60,51,48,58,60
2019-01-10,69,59,51,62,63
2019-01-11,88,71,71,80,83
2019-01-12,114,91,86,101,97
2019-01-13,115,92,95,106,108
2019-01-14,184,140,141,149,165
2019-01-15,153,120,118,125,134
2019-01-16,60,53,44,49,61
2019-01-17,54,46,40,46,50
2019-01-18,92,75,69,82,84
2019-01-19,116,88,88,102,97
2019-01-20,65,58,50,62,61
2019-01-21,45,37,32,38,40
2019-01-22,77,65,58,72,72
2019-01-23,96,85,73,88,92
2019-01-24,53,43,38,46,49
2019-01-25,56,43,43,51,51
2019-01-26,55,48,44,51,56
2019-01-27,41,36,32,40,41
2019-01-28,78,65,60,76,72
2019-01-29,92,74,72,82,88
2019-01-30,83,63,59,69,73
2019-01-31,68,55,48,58,60
2019-08-01,11,12,25,8,20
2019-08-02,16,15,25,12,25
2019-08-03,24,27,35,24,38
2019-08-04,33,34,45,33,42
2019-08-05,51,46,64,44,56
2019-08-06,23,23,29,27,29
2019-08-07,15,20,30,21,26
2019-08-08,19,24,31,24,30
2019-08-09,14,16,23,16,24
2019-08-10,31,29,36,24,34
2019-08-11,18,16,21,11,20
2019-08-12,21,14,31,9,30
2019-08-13,17,18,31,19,24
2019-08-14,10,12,19,13,16
2019-08-15,7,9,15,7,13
2019-08-16,18,18,24,15,20
2019-08-17,35,35,41,35,41
2019-08-18,28,25,28,22,28
2019-08-19,37,31,36,33,35
2019-08-20,32,31,35,37,32
2019-08-21,26,29,29,36,30
2019-08-22,34,25,20,26,27
2019-08-23,39,34,30,38,35
2019-08-24,32,26,25,31,28
2019-08-25,18,17,19,20,19
2019-08-26,19,16,18,19,18
2019-08-27,15,15,17,18,18
2019-08-28,25,21,18,23,23
2019-08-29,26,24,22,25,26
2019-08-30,21,19,18,19,22
2019-08-31,22,25,20,21,23
2019-05-01,65,60,58,64,64
2019-05-02,76,72,76,81,80
2019-05-03,48,34,42,41,43
2019-05-04,73,61,67,69,70
2019-05-05,59,53,60,66,61
2019-05-06,44,45,46,48,52
2019-05-07,40,33,38,41,40
2019-05-08,45,34,39,45,43
2019-05-09,45,37,40,42,46
2019-05-10,54,39,44,42,47
2019-05-11,61,52,53,57,59
2019-05-12,45,37,45,46,46
2019-05-13,47,40,46,48,49
2019-05-14,65,50,55,52,67
2019-05-15,85,53,61,61,57
2019-05-16,78,50,62,66,57
2019-05-17,49,33,44,43,50
2019-05-18,17,17,25,20,23
2019-05-19,14,16,22,15,21
2019-05-20,32,23,29,30,31
2019-05-21,43,38,43,42,43
2019-05-22,56,48,53,57,54
2019-05-23,64,52,61,66,57
2019-05-24,86,68,84,84,78
2019-05-25,68,55,63,64,63
2019-05-26,33,29,36,35,36
2019-05-27,16,14,19,13,17
2019-05-28,21,21,21,18,25
2019-05-29,35,30,34,35,35
2019-05-30,44,37,40,46,40
2019-05-31,19,20,23,18,22
2019-02-01,46,38,35,40,43
2019-02-02,70,57,54,63,67
2019-02-03,40,35,35,38,36
2019-02-04,86,85,86,92,104
2019-02-05,100,98,94,98,113
2019-02-06,92,80,82,86,92
2019-02-07,66,58,57,63,65
2019-02-08,38,36,32,37,42
2019-02-09,41,39,35,41,44
2019-02-10,45,43,39,46,47
2019-02-11,41,35,32,38,41
2019-02-12,68,56,51,59,65
2019-02-13,77,66,59,68,74
2019-02-14,58,47,45,55,54
2019-02-15,73,58,51,64,65
2019-02-16,64,56,55,58,67
2019-02-17,58,47,41,47,54
2019-02-18,58,43,36,46,49
2019-02-19,49,38,31,38,38
2019-02-20,72,60,54,62,68
2019-02-21,113,87,78,87,96
2019-02-22,128,105,97,106,112
2019-02-23,84,71,75,75,78
2019-02-24,52,46,48,51,51
2019-02-25,95,74,71,80,78
2019-02-26,77,58,55,60,60
2019-02-27,77,61,53,62,64
2019-02-28,120,99,94,104,107
2019-04-01,35,31,25,31,33
2019-04-02,39,32,27,32,35
2019-04-03,45,39,34,42,42
2019-04-04,48,46,37,47,46
2019-04-05,94,89,78,88,93
2019-04-06,81,72,70,75,78
2019-04-07,50,56,46,49,56
2019-04-08,55,41,44,51,54
2019-04-09,32,22,27,33,34
2019-04-10,13,9,12,9,18
2019-04-11,42,38,30,38,41
2019-04-12,50,41,35,43,44
2019-04-13,42,34,32,41,39
2019-04-14,48,38,39,46,44
2019-04-15,62,56,52,64,60
2019-04-16,70,52,54,60,57
2019-04-17,53,44,40,47,46
2019-04-18,39,30,30,34,39
2019-04-19,55,50,45,56,57
2019-04-20,54,50,42,53,53
2019-04-21,59,49,44,51,53
2019-04-22,71,59,51,64,61
2019-04-23,45,38,41,45,43
2019-04-24,20,14,19,14,19
2019-04-25,37,30,31,34,32
2019-04-26,12,10,12,8,14
2019-04-27,14,10,16,15,20
2019-04-28,26,23,24,25,32
2019-04-29,26,20,25,23,25
2019-04-30,26,22,25,18,28
2019-03-01,189,147,168,158,162
2019-03-02,122,96,106,108,106
2019-03-03,115,90,102,110,100
2019-03-04,166,136,141,151,147
2019-03-05,196,149,166,181,164
2019-03-06,160,127,131,138,138
2019-03-07,108,90,88,95,94
2019-03-08,68,56,54,62,61
2019-03-09,66,49,46,55,51
2019-03-10,60,51,44,52,53
2019-03-11,38,37,30,38,36
2019-03-12,69,63,58,69,68
2019-03-13,46,39,34,44,43
2019-03-14,48,44,40,50,46
2019-03-15,50,44,37,50,45
2019-03-16,39,39,35,40,41
2019-03-17,38,39,34,40,40
2019-03-18,45,37,36,39,38
2019-03-19,69,52,53,57,55
2019-03-20,81,70,73,76,76
2019-03-21,32,31,28,29,32
2019-03-22,45,44,42,46,46
2019-03-23,27,30,28,31,33
2019-03-24,31,35,30,35,34
2019-03-25,64,57,50,56,60
2019-03-26,57,53,48,52,56
2019-03-27,82,73,68,81,77
2019-03-28,90,83,75,83,88
2019-03-29,57,53,46,52,55
2019-03-30,46,45,37,44,46
2019-03-31,41,40,36,40,44
2019-06-01,26,25,27,24,30
2019-06-02,36,31,34,33,36
2019-06-03,48,39,46,44,45
2019-06-04,45,33,39,36,42
2019-06-05,51,40,42,42,41
2019-06-06,47,41,46,45,46
2019-06-07,10,9,15,9,11
2019-06-08,18,17,22,17,21
2019-06-09,21,21,28,23,24
2019-06-10,8,9,14,9,13
2019-06-11,19,16,21,17,20
2019-06-12,36,35,37,37,36
2019-06-13,40,33,41,36,37
2019-06-14,63,54,60,57,59
2019-06-15,36,31,36,35,33
2019-06-16,29,30,32,29,31
2019-06-17,23,22,22,21,24
2019-06-18,33,28,34,26,35
2019-06-19,44,42,40,34,41
2019-06-20,38,41,35,29,35
2019-06-21,35,36,37,33,36
2019-06-22,27,31,33,27,32
2019-06-23,13,14,20,14,16
2019-06-24,31,27,33,27,31
2019-06-25,32,25,32,27,28
2019-06-26,34,28,35,29,32
2019-06-27,18,13,21,12,19
2019-06-28,31,28,33,26,27
2019-06-29,25,28,29,21,30
2019-06-30,28,30,32,24,31
2019-07-01,30,31,30,26,28
2019-07-02,28,27,30,21,29
2019-07-03,46,35,43,38,36
2019-07-04,45,42,45,35,41
2019-07-05,38,32,39,32,34
2019-07-06,31,23,31,25,26
2019-07-07,17,17,23,15,18
2019-07-08,10,9,14,9,13
2019-07-09,10,10,14,10,14
2019-07-10,9,10,15,8,11
2019-07-11,15,10,14,7,13
2019-07-12,21,17,20,13,16
2019-07-13,30,28,32,23,31
2019-07-14,39,37,42,31,37
2019-07-15,48,41,49,40,45
2019-07-16,29,23,27,25,29
2019-07-17,34,30,34,31,37
2019-07-18,26,22,28,23,28
2019-07-19,16,16,20,11,18
2019-07-20,8,7,12,4,10
2019-07-21,18,16,22,15,22
2019-07-22,31,27,33,27,32
2019-07-23,21,20,28,17,21
2019-07-24,19,17,25,16,19
2019-07-25,18,20,31,17,27
2019-07-26,28,26,32,21,35
2019-07-27,18,19,24,12,22
2019-07-28,12,18,18,11,18
2019-07-29,16,16,21,12,23
2019-07-30,13,13,19,10,18
2019-07-31,11,10,15,7,16
2019-09-01,23,21,22,24,21
2019-09-02,28,25,24,27,26
2019-09-03,9,13,14,13,12
2019-09-04,9,14,18,16,13
2019-09-05,13,15,18,18,20
2019-09-06,19,22,20,21,22
2019-09-07,11,13,13,13,12
2019-09-08,14,18,18,16,18
2019-09-09,16,15,16,19,14
2019-09-10,24,23,22,23,24
2019-09-11,26,23,20,26,23
2019-09-12,11,10,11,13,10
2019-09-13,14,13,14,14,14
2019-09-14,17,18,19,20,17
2019-09-15,21,21,20,22,18
2019-09-16,16,12,16,20,12
2019-09-17,18,14,15,18,14
2019-09-18,32,28,24,29,29
2019-09-19,34,28,26,33,32
2019-09-20,26,24,23,28,23
2019-09-21,11,12,15,13,10
2019-09-22,4,5,8,6,4
2019-09-23,11,13,14,8,12
2019-09-24,29,22,25,22,24
2019-09-25,36,30,32,30,29
2019-09-26,24,25,24,22,19
2019-09-27,24,23,26,21,22
2019-09-28,46,42,40,36,37
2019-09-29,49,45,42,42,40
2019-09-30,53,41,42,43,40
2019-10-01,46,33,36,37,30
2019-10-02,16,15,14,12,10
2019-10-03,10,11,10,9,9
2019-10-04,33,24,35,26,23
2019-10-05,50,46,42,45,40
2019-10-06,14,13,14,13,11
2019-10-07,12,12,12,11,9
2019-10-08,30,25,23,24,23
2019-10-09,28,21,22,23,22
2019-10-10,44,34,32,37,35
2019-10-11,51,39,38,48,34
2019-10-12,29,24,28,27,25
2019-10-13,21,19,22,20,18
2019-10-14,35,26,30,30,28
2019-10-15,28,21,26,25,20
2019-10-16,32,22,28,27,22
2019-10-17,39,30,34,39,30
2019-10-18,23,15,21,18,17
2019-10-19,27,16,24,20,18
2019-10-20,35,27,29,28,25
2019-10-21,38,25,30,31,23
2019-10-22,28,16,22,22,14
2019-10-23,31,18,25,24,19
2019-10-24,30,21,27,24,23
2019-10-25,34,23,30,27,24
2019-10-26,29,24,28,26,25
2019-10-27,31,23,27,27,26
2019-10-28,41,29,34,35,29
2019-10-29,69,66,66,68,69
2019-10-30,33,26,39,28,28
2019-10-31,57,47,50,49,47
2019-11-01,106,105,102,93,116
2019-11-02,81,70,87,71,77
2019-11-03,77,67,75,76,65
2019-11-04,26,21,32,27,26
2019-11-05,46,34,39,37,38
2019-11-06,50,37,39,43,38
2019-11-07,48,38,40,46,42
2019-11-08,50,40,44,44,47
2019-11-09,46,39,42,43,46
2019-11-10,37,31,37,44,37
2019-11-11,27,23,26,26,27
2019-11-12,44,31,37,36,39
2019-11-13,42,28,33,36,35
2019-11-14,27,25,27,29,30
2019-11-15,42,32,34,39,36
2019-11-16,51,44,45,53,50
2019-11-17,40,42,35,46,42
2019-11-18,73,61,87,75,70
2019-11-19,33,26,30,31,32
2019-11-20,33,25,28,31,35
2019-11-21,54,41,42,49,50
2019-11-22,48,34,41,44,45
2019-11-23,35,26,33,34,36
2019-11-24,30,25,28,28,28
2019-11-25,29,25,29,29,32
2019-11-26,37,31,32,33,39
2019-11-27,41,39,35,45,43
2019-11-28,48,42,41,49,48
2019-11-29,42,30,32,36,38
2019-11-30,47,37,41,46,43
2019-12-01,59,53,40,59,49
2019-12-02,28,21,22,26,26
2019-12-03,26,20,23,23,28
2019-12-04,34,29,27,32,33
2019-12-05,27,21,22,25,26
2019-12-06,29,25,31,33,35
2019-12-07,43,33,37,44,43
2019-12-08,53,49,42,52,48
2019-12-09,61,51,47,62,56
2019-12-10,118,78,81,98,88
2019-12-11,75,57,55,73,64
2019-12-12,22,18,20,23,26
2019-12-13,43,28,37,38,35
2019-12-14,37,33,32,38,44
2019-12-15,39,31,36,39,39
2019-12-16,50,35,41,43,44
2019-12-17,41,32,31,35,37
2019-12-18,40,36,36,39,46
2019-12-19,28,24,26,27,31
2019-12-20,35,30,33,36,41
2019-12-21,47,37,42,48,50
2019-12-22,50,42,47,55,46
2019-12-23,53,41,40,48,47
2019-12-24,79,67,57,63,74
2019-12-25,73,62,60,74,70
2019-12-26,47,43,38,46,46
2019-12-27,37,27,31,31,36
2019-12-28,42,33,42,42,47
2019-12-29,41,38,44,53,41
2019-12-30,26,22,21,25,23
2019-12-31,22,19,23,23,28
