,대덕구,동구,서구,유성구,중구
2019-01-01,33,29,33,32,26
2019-01-02,25,21,18,18,21
2019-01-03,34,26,23,24,26
2019-01-04,52,37,36,36,39
2019-01-05,48,45,41,42,41
2019-01-06,33,26,27,25,31
2019-01-07,53,43,38,40,43
2019-01-08,44,38,34,31,33
2019-01-09,26,21,20,20,24
2019-01-10,39,34,30,31,35
2019-01-11,44,42,36,45,42
2019-01-12,46,57,45,61,58
2019-01-13,53,60,52,67,63
2019-01-14,88,99,86,101,95
2019-01-15,64,81,72,78,70
2019-01-16,17,15,12,13,15
2019-01-17,22,21,16,20,20
2019-01-18,40,39,35,41,39
2019-01-19,53,52,54,59,53
2019-01-20,28,30,29,28,28
2019-01-21,17,12,10,12,12
2019-01-22,30,30,26,30,29
2019-01-23,45,50,41,44,45
2019-01-24,26,20,20,19,25
2019-01-25,27,24,23,22,26
2019-01-26,23,20,20,17,21
2019-01-27,24,20,19,19,21
2019-01-28,26,22,18,21,20
2019-01-29,28,22,21,20,24
2019-01-30,41,34,31,31,35
2019-01-31,24,25,17,19,22
2019-02-01,20,16,13,14,15
2019-02-02,38,32,30,34,31
2019-02-03,22,23,25,25,22
2019-02-04,29,29,27,26,28
2019-02-05,31,29,29,27,30
2019-02-06,30,28,31,28,26
2019-02-07,27,28,25,25,31
2019-02-08,19,19,14,16,21
2019-02-09,21,19,16,17,20
2019-02-10,24,23,20,21,24
2019-02-11,22,19,16,17,22
2019-02-12,42,37,32,33,37
2019-02-13,43,45,40,38,44
2019-02-14,37,28,28,28,32
2019-02-15,46,39,38,39,42
2019-02-16,41,40,37,38,39
2019-02-17,36,34,29,26,33
2019-02-18,32,25,20,23,27
2019-02-19,30,30,19,24,25
2019-02-20,44,48,40,43,43
2019-02-21,66,69,56,62,58
2019-02-22,81,86,73,76,75
2019-02-23,54,52,51,47,46
2019-02-24,34,31,32,30,28
2019-02-25,61,53,50,51,46
2019-02-26,42,32,26,29,31
2019-02-27,47,40,30,34,36
2019-02-28,73,73,58,69,67
2019-03-01,117,118,116,110,113
2019-03-02,75,66,66,66,65
2019-03-03,76,65,68,73,66
2019-03-04,103,99,97,100,102
2019-03-05,113,108,103,123,102
2019-03-06,97,91,79,92,86
2019-03-07,75,72,59,66,64
2019-03-08,43,35,30,32,34
2019-03-09,43,31,27,30,31
2019-03-10,46,36,32,33,45
2019-03-11,25,20,18,19,18
2019-03-12,40,35,35,38,34
2019-03-13,13,7,8,6,10
2019-03-14,18,12,14,14,17
2019-03-15,24,17,17,20,20
2019-03-16,23,19,18,21,22
2019-03-17,19,16,15,15,19
2019-03-18,24,15,15,15,19
2019-03-19,39,25,27,27,30
2019-03-20,44,35,35,41,40
2019-03-21,20,15,15,14,18
2019-03-22,23,21,20,20,25
2019-03-23,14,11,11,11,15
2019-03-24,14,12,10,11,14
2019-03-25,34,26,26,28,30
2019-03-26,28,25,27,26,28
2019-03-27,41,33,35,40,35
2019-03-28,44,45,41,47,46
2019-03-29,31,23,24,23,28
2019-03-30,26,23,22,24,22
2019-03-31,19,16,17,16,17
2019-05-01,30,27,26,26,25
2019-05-02,26,23,22,26,23
2019-05-03,23,13,17,15,16
2019-05-04,41,32,34,35,35
2019-05-05,35,28,32,32,30
2019-05-06,18,17,18,16,18
2019-05-07,17,11,13,11,12
2019-05-08,20,12,14,13,15
2019-05-09,24,15,17,17,19
2019-05-10,31,20,22,20,24
2019-05-11,36,27,28,29,29
2019-05-12,30,21,26,26,25
2019-05-13,30,23,27,25,27
2019-05-14,41,28,29,29,31
2019-05-15,54,31,36,37,34
2019-05-16,48,30,36,39,31
2019-05-17,34,23,27,26,26
2019-05-18,14,8,11,11,10
2019-05-19,12,7,10,10,10
2019-05-20,11,6,8,7,7
2019-05-21,15,9,11,11,12
2019-05-22,25,17,20,19,20
2019-05-23,33,24,30,30,27
2019-05-24,48,34,43,42,40
2019-05-25,43,31,35,38,37
2019-05-26,21,15,18,17,18
2019-05-27,12,7,9,8,9
2019-05-28,10,5,7,6,7
2019-05-29,19,13,15,14,15
2019-05-30,25,16,21,23,19
2019-05-31,15,10,11,11,11
2019-04-01,14,9,11,10,12
2019-04-02,19,11,14,12,14
2019-04-03,23,16,18,16,19
2019-04-04,23,19,20,20,21
2019-04-05,31,27,27,26,28
2019-04-06,21,16,19,17,19
2019-04-07,20,18,19,15,21
2019-04-08,20,15,18,14,19
2019-04-09,12,8,10,8,10
2019-04-10,6,4,6,4,7
2019-04-11,22,19,16,20,17
2019-04-12,27,20,20,19,20
2019-04-13,23,16,18,17,18
2019-04-14,24,17,20,20,19
2019-04-15,23,17,18,19,19
2019-04-16,25,11,16,13,16
2019-04-17,22,12,15,11,16
2019-04-18,21,12,15,12,14
2019-04-19,22,21,19,24,19
2019-04-20,22,17,17,19,18
2019-04-21,29,22,22,23,22
2019-04-22,30,23,23,25,22
2019-04-23,23,17,18,19,20
2019-04-24,13,7,9,8,9
2019-04-25,19,14,15,17,14
2019-04-26,8,5,6,4,6
2019-04-27,10,6,8,7,7
2019-04-28,18,15,13,16,15
2019-04-29,17,12,14,17,12
2019-04-30,15,11,12,11,12
2019-06-01,18,12,14,15,15
2019-06-02,23,16,19,18,18
2019-06-03,30,21,24,23,25
2019-06-04,31,19,23,21,22
2019-06-05,31,20,23,25,23
2019-06-06,29,24,27,28,27
2019-06-07,7,3,5,5,5
2019-06-08,11,6,9,8,9
2019-06-09,17,11,15,15,14
