,대덕구,동구,서구,유성구,중구
2021-02-01,77,84,80,77,79
2021-02-02,38,36,32,31,36
2021-02-03,35,34,34,29,36
2021-02-04,29,36,34,29,35
2021-02-05,34,31,29,28,35
2021-02-06,57,56,47,49,49
2021-02-07,71,87,77,76,80
2021-02-08,31,26,27,23,29
2021-02-09,29,29,26,24,30
2021-02-10,41,35,33,33,35
2021-02-11,52,49,50,48,51
2021-02-12,57,61,59,56,58
2021-02-13,64,76,64,64,69
2021-02-14,53,59,58,53,52
2021-02-15,38,38,37,33,35
2021-02-16,25,21,20,18,22
2021-02-17,30,28,30,24,29
2021-02-18,34,36,40,31,39
2021-02-19,38,39,36,35,36
2021-02-20,77,79,73,77,75
2021-02-21,65,66,60,64,65
2021-02-22,57,51,50,46,54
2021-02-23,46,43,43,39,46
2021-02-24,50,45,47,43,46
2021-02-25,49,42,45,46,43
2021-02-26,37,29,31,32,35
2021-02-27,21,19,21,16,21
2021-02-28,20,20,22,16,20
2021-03-01,14,13,15,11,12
2021-03-02,13,14,13,11,15
2021-03-03,28,32,32,30,31
2021-03-04,32,34,33,33,38
2021-03-05,39,45,39,38,44
2021-03-06,34,33,34,35,34
2021-03-07,31,33,31,27,32
2021-03-08,58,69,55,62,65
2021-03-09,59,62,55,57,59
2021-03-10,58,61,56,58,58
2021-03-11,68,65,62,65,61
2021-03-12,44,49,43,45,57
2021-03-13,36,40,36,38,47
2021-03-14,53,60,50,52,63
2021-03-15,57,60,51,53,59
2021-03-16,80,74,70,69,73
2021-03-17,98,91,90,84,92
2021-03-18,98,86,82,84,84
2021-03-19,44,44,43,42,43
2021-03-20,25,25,24,21,22
2021-03-21,44,49,44,44,46
2021-03-22,47,44,44,40,43
2021-03-23,93,98,85,95,94
2021-03-24,58,55,47,54,55
2021-03-25,57,53,49,50,52
2021-03-26,76,71,64,66,74
2021-03-27,43,40,49,44,42
2021-03-28,16,14,14,14,14
2021-03-29,407,423,389,386,409
2021-03-30,176,153,175,172,145
2021-03-31,50,44,45,44,48
2021-01-01,37,30,31,31,33
2021-01-02,43,38,41,39,44
2021-01-03,46,36,44,41,43
2021-01-04,48,43,49,43,45
2021-01-05,39,34,35,35,36
2021-01-06,29,19,25,22,26
2021-01-07,30,13,32,18,34
2021-01-08,22,14,23,17,25
2021-01-09,27,17,25,20,25
2021-01-10,32,20,30,26,29
2021-01-11,48,38,43,46,39
2021-01-12,53,39,43,48,41
2021-01-13,92,84,77,79,84
2021-01-14,112,93,95,93,104
2021-01-15,82,64,73,71,70
2021-01-16,76,70,80,71,79
2021-01-17,21,12,19,15,19
2021-01-18,43,32,38,37,37
2021-01-19,29,22,29,25,36
2021-01-20,44,28,42,37,42
2021-01-21,58,44,46,51,47
2021-01-22,36,27,34,33,31
2021-01-23,26,24,24,26,30
2021-01-24,16,10,17,11,21
2021-01-25,23,20,22,16,28
2021-01-26,24,21,21,21,20
2021-01-27,48,47,44,42,51
2021-01-28,42,39,41,35,40
2021-01-29,30,33,33,28,39
2021-01-30,64,64,71,57,69
2021-01-31,51,50,54,49,56
2021-04-01,62,58,58,55,59
2021-04-02,55,54,58,49,55
2021-04-03,35,34,38,34,33
2021-04-04,7,5,7,4,7
2021-04-05,21,14,18,16,15
2021-04-06,42,29,36,36,31
2021-04-07,48,40,40,47,45
2021-04-08,42,30,34,34,34
2021-04-09,34,25,29,25,29
2021-04-10,35,30,33,30,36
2021-04-11,42,33,38,34,38
2021-04-12,27,20,25,26,22
2021-04-13,22,10,27,12,13
2021-04-14,34,25,27,26,29
2021-04-15,39,28,33,31,34
2021-04-16,45,35,37,37,39
2021-04-17,91,89,89,92,90
2021-04-18,34,27,31,26,30
2021-04-19,49,41,41,43,43
2021-04-20,66,58,54,57,61
2021-04-21,63,56,56,57,60
2021-04-22,64,52,52,56,56
2021-04-23,36,34,32,30,34
2021-04-24,27,24,27,21,27
2021-04-25,33,31,31,27,31
2021-04-26,29,19,26,24,23
2021-04-27,44,33,35,40,37
2021-04-28,93,84,84,83,91
2021-04-29,86,74,79,75,82
2021-04-30,55,46,49,55,52
2021-05-01,37,32,33,31,35
2021-05-02,19,16,17,14,18
2021-05-03,28,20,21,21,21
2021-05-04,30,25,27,28,29
2021-05-05,49,37,42,41,41
2021-05-06,87,69,73,71,75
2021-05-07,246,198,244,219,231
2021-05-08,451,402,437,427,451
2021-05-09,107,98,106,98,106
2021-05-10,24,18,22,18,21
2021-05-11,19,15,16,14,15
2021-05-12,23,17,21,17,20
2021-05-13,42,28,37,31,36
2021-05-14,57,45,47,47,51
2021-05-15,30,22,26,24,25
2021-05-16,14,9,7,5,5
2021-05-17,13,8,8,7,7
2021-05-18,35,24,25,26,25
2021-05-19,46,33,31,33,34
2021-05-20,28,22,24,22,22
2021-05-21,20,12,13,10,13
2021-05-22,28,24,24,22,26
2021-05-23,39,30,31,30,31
2021-05-24,98,72,85,84,80
2021-05-25,132,109,122,116,114
2021-05-26,50,38,40,42,39
2021-05-27,41,32,33,31,32
2021-05-28,43,31,31,34,32
2021-05-29,33,27,28,26,29
2021-05-30,38,32,36,32,34
