,대덕구,동구,서구,유성구,중구
2016-01-01,61,48,45,60,60
2016-01-02,55,39,44,50,51
2016-01-03,67,55,56,64,66
2016-01-04,88,74,69,84,96
2016-01-05,37,26,29,32,36
2016-01-06,68,45,51,59,58
2016-01-07,53,37,35,43,46
2016-01-08,42,27,30,35,37
2016-01-09,44,28,29,35,35
2016-01-10,57,41,46,51,57
2016-01-11,49,38,40,46,53
2016-01-12,56,35,33,42,44
2016-01-13,38,25,27,33,34
2016-01-14,41,29,35,39,43
2016-01-15,71,50,57,63,64
2016-01-16,102,69,80,89,91
2016-01-17,75,59,60,79,80
2016-01-18,41,28,27,36,43
2016-01-19,30,14,16,19,20
2016-01-20,41,30,34,38,44
2016-01-21,52,40,43,53,54
2016-01-22,48,33,37,40,48
2016-01-23,33,24,27,30,33
2016-01-24,24,20,23,28,30
2016-01-25,73,37,49,53,52
2016-01-26,79,53,60,72,64
2016-01-27,89,65,64,80,79
2016-01-28,96,67,71,95,83
2016-01-29,34,21,24,36,29
2016-01-30,39,29,29,41,38
2016-01-31,45,36,34,41,46
2016-03-01,42,27,31,35,41
2016-03-02,43,24,27,37,38
2016-03-03,73,45,56,55,61
2016-03-04,72,47,64,65,60
2016-03-05,23,15,20,24,23
2016-03-06,67,45,59,52,59
2016-03-07,107,63,89,85,86
2016-03-08,97,64,75,70,85
2016-03-09,60,38,45,45,51
2016-03-10,50,24,31,30,36
2016-03-11,49,27,32,34,39
2016-03-12,75,45,51,55,57
2016-03-13,95,64,75,80,85
2016-03-14,103,74,71,82,98
2016-03-15,89,55,58,66,67
2016-03-16,87,53,54,66,62
2016-03-17,85,42,50,54,54
2016-03-18,63,39,40,49,42
2016-03-19,69,57,52,57,66
2016-03-20,76,56,62,63,70
2016-03-21,66,43,51,53,56
2016-03-22,67,43,53,57,55
2016-03-23,84,61,60,65,74
2016-03-24,53,34,39,39,46
2016-03-25,70,41,50,53,54
2016-03-26,73,49,55,60,62
2016-03-27,64,44,48,52,57
2016-03-28,77,52,58,64,66
2016-03-29,106,70,80,87,83
2016-03-30,84,59,67,71,72
2016-03-31,80,54,66,64,67
2016-08-01,34,32,32,32,36
2016-08-02,31,34,27,30,40
2016-08-03,19,20,20,19,25
2016-08-04,23,24,23,22,22
2016-08-05,32,33,34,34,28
2016-08-06,34,33,36,41,29
2016-08-07,38,35,32,32,30
2016-08-08,42,31,32,39,29
2016-08-09,29,24,27,28,24
2016-08-10,39,35,40,41,33
2016-08-11,38,33,32,32,30
2016-08-12,34,32,31,29,28
2016-08-13,34,34,32,31,28
2016-08-14,34,36,35,34,30
2016-08-15,32,33,33,32,28
2016-08-16,41,39,38,43,30
2016-08-17,50,44,50,52,42
2016-08-18,35,31,41,44,33
2016-08-19,37,29,34,36,24
2016-08-20,25,22,25,37,20
2016-08-21,14,19,16,20,14
2016-08-22,27,27,30,33,22
2016-08-23,24,24,26,31,21
2016-08-24,23,21,22,27,20
2016-08-25,32,27,30,36,23
2016-08-26,17,21,15,23,15
2016-08-27,14,18,14,20,16
2016-08-28,10,16,11,16,11
2016-08-29,12,18,14,18,13
2016-08-30,23,23,22,24,21
2016-08-31,29,26,29,30,24
2016-02-01,42,26,28,32,36
2016-02-02,46,32,38,41,46
2016-02-03,61,41,45,50,54
2016-02-04,64,41,44,50,55
2016-02-05,53,34,37,38,49
2016-02-06,52,33,40,43,47
2016-02-07,47,31,38,43,42
2016-02-08,73,48,62,66,64
2016-02-09,54,40,51,53,56
2016-02-10,43,32,39,35,42
2016-02-11,51,38,48,49,49
2016-02-12,39,26,34,40,40
2016-02-13,30,21,21,24,30
2016-02-14,32,22,30,30,35
2016-02-15,40,23,27,31,33
2016-02-16,41,23,29,33,34
2016-02-17,43,22,30,31,34
2016-02-18,55,31,38,43,46
2016-02-19,90,63,75,80,89
2016-02-20,88,62,63,73,81
2016-02-21,35,22,27,32,34
2016-02-22,51,31,39,46,45
2016-02-23,72,48,55,61,67
2016-02-24,40,21,27,29,32
2016-02-25,52,31,37,43,42
2016-02-26,76,55,58,73,73
2016-02-27,71,53,47,67,64
