지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),현상번호(국내식),지면온도(°C)
133,대전,2019.1.1 0:00,-4.9,,0.4,62,,,-3.6
133,대전,2019.1.1 1:00,-4.4,,0.6,61,,,-3.2
133,대전,2019.1.1 2:00,-3.9,,0.4,59,,,-3.4
133,대전,2019.1.1 3:00,-4.4,,1,61,,,-4.9
133,대전,2019.1.1 4:00,-5.1,,0.7,66,,,-6.2
133,대전,2019.1.1 5:00,-5.5,,0,68,,,-6.3
133,대전,2019.1.1 6:00,-5.3,,0.4,70,,,-5.6
133,대전,2019.1.1 7:00,-5.6,,0.7,73,,,-6.1
133,대전,2019.1.1 8:00,-6.1,,1.2,76,0,19,-6.4
133,대전,2019.1.1 9:00,-4.9,,0.8,74,0.5,19,-3
133,대전,2019.1.1 10:00,-2.8,,0.7,68,0.4,,-0.2
133,대전,2019.1.1 11:00,-1.2,,1.2,64,0.1,,1.5
133,대전,2019.1.1 12:00,-0.2,,1.2,60,0.4,,2.6
133,대전,2019.1.1 13:00,0.1,,2.9,63,0.1,,1.4
133,대전,2019.1.1 14:00,0.6,,2.2,61,0.1,8,1.4
133,대전,2019.1.1 15:00,0.4,0,2.3,71,0,8,1.6
133,대전,2019.1.1 16:00,-0.3,,2.2,72,0.3,8,-0.8
133,대전,2019.1.1 17:00,-0.8,,2,74,0.2,8,-1
133,대전,2019.1.1 18:00,-1.3,0,2,84,0,8,-0.8
133,대전,2019.1.1 19:00,-2,,1,86,,8,-1.7
133,대전,2019.1.1 20:00,-2,,1.3,77,,,-2.2
133,대전,2019.1.1 21:00,-2.1,0.1,1.8,68,,,-3.1
133,대전,2019.1.1 22:00,-2.8,,1.7,67,,,-4.2
133,대전,2019.1.1 23:00,-3.2,,1.4,68,,,-4.9
133,대전,2019.1.2 0:00,-3.9,,1.9,70,,,-5.6
133,대전,2019.1.2 1:00,-4.9,,0.7,74,,,-6.4
133,대전,2019.1.2 2:00,-5,,0.8,76,,,-6.5
133,대전,2019.1.2 3:00,-5.8,,0.1,75,,,-7.3
133,대전,2019.1.2 4:00,-6.4,,1.3,81,,,-7.3
133,대전,2019.1.2 5:00,-7,,0.7,84,,,-7.6
133,대전,2019.1.2 6:00,-7.5,,0.9,85,,,-7.7
133,대전,2019.1.2 7:00,-8,,1.1,86,,,-7.8
133,대전,2019.1.2 8:00,-8.3,,0.1,85,0,,-8
133,대전,2019.1.2 9:00,-7,,0.9,85,1,,-6.5
133,대전,2019.1.2 10:00,-3.9,,0.7,77,1,,-2.3
133,대전,2019.1.2 11:00,-1,,1.3,59,1,,1.3
133,대전,2019.1.2 12:00,0.5,,1.5,55,1,,4.4
133,대전,2019.1.2 13:00,1.4,,2.7,49,1,,6
133,대전,2019.1.2 14:00,2.3,,2.3,44,1,,6.5
133,대전,2019.1.2 15:00,2.7,,2.1,41,1,,4.9
133,대전,2019.1.2 16:00,2.6,,2,38,1,,2
133,대전,2019.1.2 17:00,1,,2.5,46,0.7,,-0.9
133,대전,2019.1.2 18:00,-0.5,,1.4,49,0,,-2.2
133,대전,2019.1.2 19:00,-2.1,,1.1,52,,,-3.1
133,대전,2019.1.2 20:00,-2.8,,1,54,,,-3.6
133,대전,2019.1.2 21:00,-3.7,,1.4,57,,,-4.3
133,대전,2019.1.2 22:00,-4.3,,0.6,59,,,-4.9
133,대전,2019.1.2 23:00,-4.2,,1.1,63,,,-5.1
133,대전,2019.1.3 0:00,-5,,0.2,66,,,-5.9
133,대전,2019.1.3 1:00,-5.7,,0.5,71,,,-6.6
133,대전,2019.1.3 2:00,-6,,0.8,75,,,-6.9
133,대전,2019.1.3 3:00,-6.7,,0.3,76,,,-7.4
133,대전,2019.1.3 4:00,-7.2,,1.2,80,,,-7.6
133,대전,2019.1.3 5:00,-7.7,,0.4,82,,,-8.1
133,대전,2019.1.3 6:00,-7.9,,0.9,84,,,-8.1
133,대전,2019.1.3 7:00,-8.3,,0.9,86,,,-8.3
133,대전,2019.1.3 8:00,-8.4,,0.7,87,0.1,19,-8.5
133,대전,2019.1.3 9:00,-7,,0.2,85,1,19,-6.8
133,대전,2019.1.3 10:00,-3.2,,0.5,75,1,,-1.4
133,대전,2019.1.3 11:00,-1.1,,0.6,58,1,,1.7
133,대전,2019.1.3 12:00,1,,1.6,43,1,,5
133,대전,2019.1.3 13:00,2.1,,1,30,1,,6.9
133,대전,2019.1.3 14:00,3.1,,0.9,28,1,,7.5
133,대전,2019.1.3 15:00,3.9,,1.5,27,1,,6.3
133,대전,2019.1.3 16:00,3.8,,1.1,26,1,,3
133,대전,2019.1.3 17:00,2.4,,0.1,27,0.7,,-1.2
133,대전,2019.1.3 18:00,1.3,,1.2,30,0,,-2.2
133,대전,2019.1.3 19:00,-0.3,,1.2,38,,,-2.6
133,대전,2019.1.3 20:00,-1.3,,1,41,,,-3.1
133,대전,2019.1.3 21:00,-2,,1,45,,,-3.6
133,대전,2019.1.3 22:00,-2.6,,1.2,49,,,-4
133,대전,2019.1.3 23:00,-3.7,,0.1,53,,,-4.7
133,대전,2019.1.4 0:00,-4.1,,0.7,56,,,-5.2
133,대전,2019.1.4 1:00,-4.7,,1,60,,,-5.8
133,대전,2019.1.4 2:00,-5.6,,0.1,63,,,-6.5
133,대전,2019.1.4 3:00,-5.8,,1.2,66,,,-6.7
133,대전,2019.1.4 4:00,-6.4,,1.1,68,,,-7.2
133,대전,2019.1.4 5:00,-7.1,,0,69,,,-7.6
133,대전,2019.1.4 6:00,-7,,1.1,72,,,-7.5
133,대전,2019.1.4 7:00,-7.5,,0.8,74,,,-7.9
133,대전,2019.1.4 8:00,-8.1,,0.4,75,0.1,,-8
133,대전,2019.1.4 9:00,-6.1,,0.2,75,1,,-5.4
133,대전,2019.1.4 10:00,-2.9,,0.2,65,1,,-0.7
133,대전,2019.1.4 11:00,0.2,,0.6,52,1,,2.9
