,대덕구,동구,서구,유성구,중구
2018-03-01,50,50,47,37,50
2018-03-02,65,60,53,45,61
2018-03-03,63,62,52,48,52
2018-03-04,40,49,41,35,32
2018-03-05,12,23,17,12,12
2018-03-06,40,40,37,31,39
2018-03-07,35,42,37,32,34
2018-03-08,44,51,36,37,37
2018-03-09,83,79,65,68,77
2018-03-10,58,63,48,48,52
2018-03-11,66,75,55,61,61
2018-03-12,104,102,89,85,94
2018-03-13,72,69,59,53,54
2018-03-14,46,48,38,32,34
2018-03-15,37,46,32,26,25
2018-03-16,27,38,30,23,27
2018-03-17,35,44,35,33,34
2018-03-18,66,73,50,59,53
2018-03-19,28,41,24,25,24
2018-03-20,27,34,30,21,28
2018-03-21,20,29,23,19,18
2018-03-22,44,50,37,33,37
2018-03-23,69,73,53,58,58
2018-03-24,97,95,77,82,82
2018-03-25,108,113,85,92,94
2018-03-26,93,94,69,80,78
2018-03-27,93,86,69,71,67
2018-03-28,63,66,54,51,50
2018-03-29,69,70,54,50,52
2018-03-30,66,71,59,58,58
2018-03-31,87,91,70,79,73
2018-01-01,56,59,54,46,54
2018-01-02,70,71,60,57,68
2018-01-03,40,43,37,29,40
2018-01-04,48,55,49,41,53
2018-01-05,60,66,53,51,59
2018-01-06,49,55,47,39,49
2018-01-07,61,66,62,56,61
2018-01-08,61,71,51,53,55
2018-01-09,37,43,41,31,36
2018-01-10,35,39,38,29,34
2018-01-11,34,38,35,26,31
2018-01-12,34,39,34,25,34
2018-01-13,52,60,47,49,46
2018-01-14,84,71,57,64,53
2018-01-15,74,75,56,58,58
2018-01-16,97,84,70,75,74
2018-01-17,64,52,41,47,36
2018-01-18,121,130,108,110,123
2018-01-19,91,86,74,70,88
2018-01-20,98,90,76,75,83
2018-01-21,130,124,94,100,125
2018-01-22,88,86,68,71,81
2018-01-23,40,41,38,30,39
2018-01-24,48,45,41,34,41
2018-01-25,35,38,34,27,36
2018-01-26,42,41,37,31,39
2018-01-27,57,66,54,52,66
2018-01-28,41,52,41,40,45
2018-01-29,72,56,53,46,57
2018-01-30,66,56,52,45,56
2018-01-31,58,58,51,46,56
2018-02-01,61,60,50,48,57
2018-02-02,70,65,54,51,64
2018-02-03,51,48,43,36,44
2018-02-04,35,39,34,28,35
2018-02-05,44,42,35,27,38
2018-02-06,47,39,38,31,37
2018-02-07,53,50,45,38,54
2018-02-08,83,73,65,60,72
2018-02-09,94,82,66,69,75
2018-02-10,85,79,68,66,72
2018-02-11,52,53,48,42,46
2018-02-12,55,49,49,38,45
2018-02-13,56,50,45,40,42
2018-02-14,87,80,72,67,71
2018-02-15,56,62,54,47,56
2018-02-16,58,58,49,42,50
2018-02-17,50,52,46,41,46
2018-02-18,51,52,47,38,48
2018-02-19,80,75,64,59,71
2018-02-20,94,87,73,68,87
2018-02-21,57,54,43,36,48
2018-02-22,68,58,49,45,52
2018-02-23,84,78,69,68,70
2018-02-24,94,97,81,80,95
2018-02-25,59,61,53,49,56
2018-02-26,72,64,54,51,56
2018-02-27,81,66,57,52,58
2018-02-28,55,52,44,42,39
2018-05-01,80,105,63,63,61
2018-05-02,43,53,37,33,27
2018-05-03,64,62,52,52,53
2018-05-04,56,59,50,41,45
2018-05-05,44,52,44,36,40
2018-05-06,22,37,28,19,17
2018-05-07,26,36,28,23,18
2018-05-08,27,42,32,24,26
2018-05-09,37,50,39,29,31
2018-05-10,53,59,44,41,39
2018-05-11,67,69,48,45,43
2018-05-12,41,50,33,27,30
2018-05-13,23,44,28,19,22
2018-05-14,65,80,55,51,55
2018-05-15,81,86,68,62,63
2018-05-16,34,50,32,22,29
2018-05-17,28,45,30,16,26
2018-05-18,27,43,29,20,24
2018-05-19,18,30,25,17,22
2018-05-20,14,25,22,17,19
2018-05-21,25,40,31,23,28
2018-05-22,31,49,35,28,32
2018-05-23,79,76,68,61,67
2018-05-24,102,94,94,80,91
2018-05-25,102,96,90,78,93
2018-05-26,90,89,83,72,83
2018-05-27,80,83,69,65,69
2018-05-28,72,77,65,61,64
2018-05-29,54,56,47,41,43
2018-05-30,63,65,57,54,52
2018-05-31,50,55,49,44,47
2018-04-01,103,99,84,82,82
2018-04-02,84,86,68,67,63
2018-04-03,79,77,68,60,60
2018-04-04,31,45,28,23,25
2018-04-05,14,26,18,13,10
2018-04-06,121,97,100,86,97
2018-04-07,72,71,62,56,61
2018-04-08,61,59,51,45,45
2018-04-09,98,93,77,61,80
2018-04-10,67,67,57,48,48
2018-04-11,71,73,62,55,55
2018-04-12,55,55,50,41,43
2018-04-13,50,54,51,40,46
2018-04-14,27,41,32,22,25
2018-04-15,116,108,103,95,101
2018-04-16,70,68,62,52,60
2018-04-17,85,86,71,65,70
2018-04-18,119,110,103,92,103
2018-04-19,74,65,60,52,52
2018-04-20,116,108,94,88,93
2018-04-21,77,77,65,56,62
2018-04-22,49,57,48,41,44
2018-04-23,23,36,28,23,21
2018-04-24,12,25,19,10,12
2018-04-25,41,41,37,27,29
2018-04-26,61,56,45,43,39
2018-04-27,63,72,55,50,51
2018-04-28,70,80,52,58,56
2018-04-29,50,55,48,40,40
2018-04-30,85,87,67,62,62
2018-06-01,59,48,47,42,46
2018-06-02,42,28,41,34,34
2018-06-03,39,28,44,32,34
2018-06-04,53,36,48,38,38
2018-06-05,49,43,52,41,44
2018-06-06,63,63,59,48,55
2018-06-07,68,79,62,56,60
2018-06-08,69,83,62,60,65
2018-06-09,56,65,55,56,55
2018-06-10,12,13,22,16,15
2018-06-11,15,13,23,17,15
2018-06-12,33,35,35,32,31
2018-06-13,41,40,40,38,36
2018-06-14,32,32,37,34,32
2018-06-15,23,17,29,22,22
2018-06-16,18,16,28,20,20
2018-06-17,37,37,41,36,35
2018-06-18,65,65,55,54,51
2018-06-19,57,52,49,43,41
2018-06-20,47,48,45,35,38
2018-06-21,38,39,39,33,33
2018-06-22,41,32,44,34,32
2018-06-23,38,29,39,29,28
2018-06-24,58,71,59,55,52
2018-06-25,58,43,54,48,44
2018-06-26,57,58,56,44,49
2018-06-27,15,18,20,10,13
2018-06-28,21,16,24,13,14
2018-06-29,31,26,31,20,22
2018-06-30,30,30,33,22,24
2018-07-01,10,12,18,7,9
2018-07-02,12,10,21,7,10
2018-07-03,17,14,24,10,13
2018-07-04,25,20,28,15,17
2018-07-05,23,21,29,13,20
2018-07-06,12,10,19,7,11
2018-07-07,11,10,19,9,11
2018-07-08,12,16,21,12,14
2018-07-09,12,12,19,10,10
2018-07-10,24,22,31,19,20
2018-07-11,38,32,38,22,28
2018-07-12,26,24,29,17,19
2018-07-13,21,22,26,13,16
2018-07-14,19,21,26,11,14
2018-07-15,20,19,25,11,14
2018-07-16,37,29,36,23,25
2018-07-17,42,36,42,25,34
