,대덕구,동구,서구,유성구,중구
2018-01-01,26,21,22,20,23
2018-01-02,41,28,32,31,34
2018-01-03,18,17,17,14,16
2018-01-04,25,20,22,21,25
2018-01-05,37,27,32,29,34
2018-01-06,29,23,25,22,28
2018-01-07,45,27,38,35,40
2018-01-08,47,30,38,34,46
2018-01-09,20,19,19,16,18
2018-01-10,16,15,14,13,13
2018-01-11,18,17,16,14,16
2018-01-12,18,16,16,13,17
2018-01-13,40,24,28,32,30
2018-01-14,68,30,38,44,39
2018-01-15,57,31,34,37,41
2018-01-16,68,40,52,49,54
2018-01-17,43,24,31,32,28
2018-01-18,66,47,67,64,68
2018-01-19,47,33,42,39,43
2018-01-20,48,32,40,40,40
2018-01-21,72,52,59,63,68
2018-01-22,49,31,44,42,43
2018-01-23,15,14,15,14,15
2018-01-24,10,12,12,12,11
2018-01-25,12,14,13,12,13
2018-01-26,15,19,16,16,16
2018-01-27,35,29,34,32,38
2018-01-28,22,22,25,23,23
2018-01-29,21,21,21,19,18
2018-01-30,22,21,20,20,18
2018-01-31,20,21,21,21,21
2018-02-01,27,22,25,23,26
2018-02-02,35,28,30,27,34
2018-02-03,19,20,19,15,17
2018-02-04,15,19,15,14,13
2018-02-05,18,18,16,14,14
2018-02-06,20,18,19,17,18
2018-02-07,26,24,22,21,24
2018-02-08,48,33,43,39,43
2018-02-09,61,37,50,46,50
2018-02-10,38,31,36,32,32
2018-02-11,12,18,14,14,11
2018-02-12,17,21,18,19,15
2018-02-13,18,19,16,14,13
2018-02-14,32,32,29,30,28
2018-02-15,22,24,24,22,23
2018-02-16,25,24,24,20,23
2018-02-17,14,19,16,15,13
2018-02-18,21,21,19,17,19
2018-02-19,47,36,40,36,41
2018-02-20,56,44,48,45,50
2018-02-21,24,21,20,18,20
2018-02-22,31,27,25,23,27
2018-02-23,47,42,44,45,41
2018-02-24,54,44,51,52,53
2018-02-25,32,27,30,28,30
2018-02-26,35,28,32,28,30
2018-02-27,40,28,30,29,29
2018-02-28,31,21,27,25,20
2018-04-01,29,37,30,31,26
2018-04-02,26,31,24,25,22
2018-04-03,22,25,20,21,16
2018-04-04,10,16,11,10,10
2018-04-05,4,11,8,4,4
2018-04-06,22,27,21,25,19
2018-04-07,19,24,21,17,17
2018-04-08,15,20,17,12,14
2018-04-09,31,34,31,28,28
2018-04-10,19,27,24,19,16
2018-04-11,20,25,20,19,17
2018-04-12,15,18,15,12,12
2018-04-13,14,19,16,13,12
2018-04-14,14,19,15,11,15
2018-04-15,19,29,23,25,19
2018-04-16,26,28,24,22,22
2018-04-17,39,34,33,33,29
2018-04-18,35,35,30,34,26
2018-04-19,32,27,25,23,22
2018-04-20,45,43,41,38,36
2018-04-21,29,32,28,24,26
2018-04-22,23,25,22,21,19
2018-04-23,12,17,15,12,12
2018-04-24,5,9,6,3,3
2018-04-25,20,20,17,11,15
2018-04-26,33,28,25,22,22
2018-04-27,37,32,33,28,31
2018-04-28,35,30,26,32,31
2018-04-29,24,25,23,18,19
